election_year,electoral_unit,V_d,S_d,V,S,district_vote_share,district_seat_share,district_valid_votes_per_seat,national_valid_votes_per_seat,district_electoral_weight,district_electoral_weight_exact
2014,AC,399201,8,97355354,513,0.00410045245174703,0.015594541910331383,49900.125,189776.5185185185,3.803127116786151,40991728//10778427
2014,AL,1384584,9,97355354,513,0.014221960509742485,0.017543859649122806,153842.66666666666,189776.5185185185,1.2335753314112157,2561983//2076876
2014,AM,1658407,8,97355354,513,0.01703457418479522,0.015594541910331383,207300.875,189776.5185185185,0.9154641461041518,40991728//44776989
2014,AP,386084,8,97355354,513,0.0039657192351229085,0.015594541910331383,48260.5,189776.5185185185,3.932336352058485,10247932//2606067
2014,BA,6646541,39,97355354,513,0.06827093453946045,0.07602339181286549,170424.12820512822,189776.5185185185,1.1135542866917125,66611558//59818869
2014,CE,4367020,22,97355354,513,0.04485649551436072,0.042884990253411304,198500.9090909091,189776.5185185185,0.956048611503361,28181813//29477385
2014,DF,1454063,8,97355354,513,0.014935624393086794,0.015594541910331383,181757.875,189776.5185185185,1.0441171724664944,40991728//39259701
2014,ES,1794470,10,97355354,513,0.018432165528359128,0.01949317738791423,179447.0,189776.5185185185,1.0575630605054334,5123966//4845069
2014,GO,3032760,17,97355354,513,0.031151445456199564,0.03313840155945419,178397.64705882352,189776.5185185185,1.0637837530219387,43553711//40942260
2014,MA,3130492,18,97355354,513,0.0321553142316138,0.03508771929824561,173916.22222222222,189776.5185185185,1.0911950368610854,2561983//2347869
2014,MG,10118666,53,97355354,513,0.10393538294771133,0.10331384015594541,190918.22641509434,189776.5185185185,0.994019911466737,135785099//136601991
2014,MS,1276893,8,97355354,513,0.013115796384449489,0.015594541910331383,159611.625,189776.5185185185,1.1889893265513618,40991728//34476111
2014,MT,1454612,8,97355354,513,0.014941263528249303,0.015594541910331383,181826.5,189776.5185185185,1.0437231015199573,10247932//9818631
2014,PA,3756049,17,97355354,513,0.038580816007304536,0.03313840155945419,220944.0588235294,189776.5185185185,0.8589346983531937,87107422//101413323
