election_year,coalition_year,period,period_start,period_end,period_days,days_overlapping_mandate,share_of_mandate,historical_parties,administration_id,composition_status,source_periods,parties,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,scenario_id,cabinet_party_set_id,display_label,canonical_membership,party_count,first_observed,last_observed,total_observed_days,established_days,provisional_days,evidence_status,occurrence_count,analytical_period_count,analytical_period_ids,analytical_period_labels,historical_period_ids,administrations,observation_intervals,provisional_person_ids,primary_assumption_ids,sensitivity_ids,evidence_qualification,endpoint_convention,focal_case_type,vote_share_pct,quota_display,seat_diff_display,required_diff_display,representation_ratio_display
2014,2016,14-05,2016-04-14,2016-04-18,5,5,0.0034223134839151265,"MDB, PCdoB, PDT, PL, PSD, PT, PTB",dilma_2,established_only,"[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB",45305141,97355354,0.4653584948188879,259,0.5048732943469786,238.7289078420895,20.271092157910488,18.271092157910488,1.0849125995722273,false,true,seats_only,true,primary,C2014-a264923b9881ebab3d9b,14-05,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,7,2016-04-14,2016-04-18,5,5,0,established_only,1,1,CV5-005,2016.3,dilma_2-2016-04-14,dilma_2,"[[""2016-04-14"",""2016-04-19""]]",,,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77;affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32,Observed on established days,start inclusive; end exclusive; first/last dates do not fill recurrence gaps,observed_inversion,46.54,238.73,20.27,18.27,1.08
2022,2023,22-01,2023-01-01,2023-09-12,255,255,0.217206132879046,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIAO",lula_3,established_only,"[""lula_3-2023-01-01""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",53490123,109413508,0.48888043147286714,263,0.5126705653021443,250.79566134558084,12.20433865441916,6.2043386544191605,1.0486624792029489,false,true,seats_only,true,primary,C2022-259238bde0cf94feb03e,22-01,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO,9,2023-01-01,2023-09-12,255,255,0,established_only,1,1,CV5-041,2023.1,lula_3-2023-01-01,lula_3,"[[""2023-01-01"",""2023-09-13""]]",,,,Observed on established days,start inclusive; end exclusive; first/last dates do not fill recurrence gaps,observed_inversion,48.89,250.8,12.2,6.2,1.05
