party,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,representation_ratio,election_year
PL,18175921,109413508,0.16612136227274607,99,0.19298245614035087,85.22025884591874,13.779741154081265,1.1616956031428576,2022
UNIÃO,10215433,109413508,0.09336537313107629,59,0.11500974658869395,47.89643641624214,11.103563583757861,1.2318244198224428,2022
PT,13236698,109413508,0.1209786455251942,69,0.13450292397660818,62.062045154424624,6.937954845575376,1.111790625467017,2022
PP,8692918,109413508,0.07945013516978178,47,0.09161793372319688,40.75791934209805,6.242080657901951,1.153150130297614,2022
MDB,7950895,109413508,0.0726683125816604,42,0.08187134502923976,37.27884435439179,4.7211556456082135,1.1266443669961035,2022
REPUBLICANOS,7610894,109413508,0.06956082607277339,40,0.07797270955165692,35.68470377533275,4.31529622466725,1.1209284586425576,2022
PSD,8293956,109413508,0.07580376638687063,42,0.08187134502923976,38.88733215646463,3.1126678435353696,1.08004323441401,2022
PV,954578,109413508,0.008724498624063859,6,0.011695906432748537,4.475667794144759,1.5243322058552407,1.3405820708698333,2022
PCdoB,1154712,109413508,0.010553651199996256,6,0.011695906432748537,5.414023065598079,0.5859769344019208,1.1082331802620773,2022
PCO,7308,109413508,6.679248416018249e-5,0,0.0,0.03426454437417362,-0.03426454437417362,0.0,2022
PSTU,27995,109413508,0.0002558642028002612,0,0.0,0.131258336036534,-0.131258336036534,0.0,2022
UP,54586,109413508,0.0004988963519933937,0,0.0,0.255933828572611,-0.255933828572611,0.0,2022
PMB,83055,109413508,0.0007590927438319591,0,0.0,0.389414577585795,-0.389414577585795,0.0,2022
PCB,85511,109413508,0.0007815396980051128,0,0.0,0.40092986507662287,-0.40092986507662287,0.0,2022
DC,97741,109413508,0.0008933174869048162,0,0.0,0.4582718707821707,-0.4582718707821707,0.0,2022
AGIR,158868,109413508,0.0014519962196989425,0,0.0,0.7448740607055575,-0.7448740607055575,0.0,2022
PROS,799661,109413508,0.0073086131193234385,3,0.005847953216374269,3.749318530212924,-0.7493185302129239,0.8001454066453058,2022
PDT,3828367,109413508,0.034989893569631274,17,0.03313840155945419,17.949815401220842,-0.9498154012208424,0.9470849487869251,2022
PRTB,238847,109413508,0.0021829754329785313,0,0.0,1.1198663971179865,-1.1198663971179865,0.0,2022
PMN,256578,109413508,0.002345030377784798,0,0.0,1.2030005838036013,-1.2030005838036013,0.0,2022
REDE,782917,109413508,0.007155578998527311,2,0.003898635477582846,3.6708120262445108,-1.6708120262445108,0.5448385767783744,2022
PSDB,3309061,109413508,0.030243624032235582,13,0.025341130604288498,15.514979128536854,-2.5149791285368543,0.8378999347855371,2022
CIDADANIA,1614106,109413508,0.014752346666373223,5,0.009746588693957114,7.567953839849464,-2.567953839849464,0.6606805625150928,2022
PSC,1944678,109413508,0.01777365551609953,6,0.011695906432748537,9.11788527975906,-3.1178852797590597,0.658047323025603,2022
PATRIOTA,1526570,109413508,0.013952299198742444,4,0.007797270955165692,7.157529488954874,-3.157529488954874,0.5588520461106854,2022
AVANTE,2192518,109413508,0.02003882372549466,7,0.01364522417153996,10.279916571178761,-3.2799165711787612,0.6809393784017194,2022
NOVO,1354754,109413508,0.012381962929111093,3,0.005847953216374269,6.351946982633991,-3.351946982633991,0.4722961334850399,2022
SOLIDARIEDADE,1702519,109413508,0.015560409597688797,4,0.007797270955165692,7.982490123614353,-3.982490123614353,0.501096767807695,2022
PODE,3612066,109413508,0.03301298044479115,12,0.023391812865497075,16.93565896817786,-4.9356589681778615,0.7085641026751911,2022
PSB,4174899,109413508,0.0381570710629258,14,0.02729044834307992,19.574577455280934,-5.574577455280934,0.7152133951286395,2022
PTB,1422652,109413508,0.013002526159749854,1,0.001949317738791423,6.670295919951675,-5.670295919951675,0.14991838623064338,2022
PSOL,3852246,109413508,0.035208139016984996,12,0.023391812865497075,18.0617753157133,-6.061775315713302,0.6643865173962326,2022
