election,ideological_universe,ideological_party_count,full_party_count,k,coalition_id,coalition_label,left_index,right_index,left_original_ordinal_position,right_original_ordinal_position,left_endpoint,right_endpoint,omitted_party,party_count,parties,gap_count,votes,national_vote_total,vote_share,seats,total_seats,seat_majority_threshold,seat_share,q_C,d_C,r_C,R_C,vote_majority,seat_majority,inversion,vote_deficit_pp,minimal_seat_majority,minimal_inversion,q_C_exact,d_C_exact,R_C_exact,A_C,A_C_exact,B_C,B_C_exact,V,S,A_over_q,B_over_q,vote_denominator
2014,seat_winning,28,32,1,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PMDB,"PCdoB--PMDB, omitting PHS",2,13,5,18,PCdoB,PMDB,PHS,11,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PMDB",1,47900371,97355354,0.4920157857984883,260,513,257,0.50682261208577,252.4040981146245,7.5959018853755076,4.595901885375497,1.0300942098092478,false,true,true,0.7984214201511719,true,true,1293310017/5123966,38921143/5123966,1332231160/1293310017,3.0419685482828993,714700228292780453343587435745829177539646122208694184000616816601755159340708904227581787779568992524344106791674097169709494899727766073539/234946619910389108236030038585052934043844355307324634875560929546801422700722560369035680813762515074457645874458382779860200702570628236900,4.5539333370926087,2741145660467228289449937272637774780484462020214998579098794798404177194375947067144992581126540102451814153511123803372694354905036703295727720513/601929246117878418685868946344249671120450492943325490032394216963102949335065287381943140638285729658004222950382510889494576576574005842257772700,97355354,513,0.012051977646184838,0.018042232163063086,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PHS|PMDB,"PCdoB--PMDB, omitting PMN",2,13,5,18,PCdoB,PMDB,PMN,11,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PHS, PMDB",1,48374966,97355354,0.4968906589359225,262,513,257,0.5107212475633528,254.90490803412825,7.0950919658717488,2.0950919658717737,1.0278342697305844,false,true,true,0.31093410640774977,true,true,653062041/2561983,18177505/2561983,671239546/653062041,2.7765789290000007,6306029064735265262320076702192256089605286877948550838097655133365106936588182977544572190723181470097283951105228972598701002228086155819887/2271150659133761379614957039655511695757162101304138137130422318952413752773651416900678247866370979053090576786431033538648606791516072956700,4.3185130368717477,25127913200799594044203202593410639293969071190839215386536992563324958988390809709610587659076649171288199396083806205398614953404498520004877477579/5818649379139491380630066481327746820831021431785479736979810763976661843572297778025450359503428720027374155187030938598447573573548723141825136100,97355354,513,0.010892606778007803,0.016941662952576646,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PCdoB|PT|PDT|PSB|PPS|PV|PTB|SOLIDARIEDADE|PMN|PHS|PMDB,"PCdoB--PMDB, omitting PT DO B",2,13,5,18,PCdoB,PMDB,PT DO B,11,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, SOLIDARIEDADE, PMN, PHS, PMDB",1,48030942,97355354,0.49335696524712963,264,513,257,0.5146198830409356,253.09212317177747,10.907876828222513,3.9078768282224985,1.043098444517055,false,true,true,0.6643034752870349,true,true,648417717/2561983,27945795/2561983,225454504/216139239,6.5648582041898322,458762524232782136447594473716147594161728661329032636481172034419816930686122186091524119723692829853381533524253184901015290313217441982743/69881558742577273218921755066323436792528064655511942680936071352381961623804658981559330703580645509325863901120954878112264824354340706360,4.3430186240326814,777553926779046372752560055568969206566198745671943349103247285860053221706688743254244597357404758065035199375559727815717483244589651076817896831/179035365511984350173232814810084517564031428670322453445532638891589595186839931631552318753951652923919204774985567341490694571493806865902311880,97355354,513,0.025938611292672126,0.017159833224382918,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PCdoB|PT|PDT|PSB|PPS|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,"PCdoB--PMDB, omitting PV",2,13,5,18,PCdoB,PMDB,PV,11,"PCdoB, PT, PDT, PSB, PPS, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",1,46838975,97355354,0.4811134989042308,257,513,257,0.5009746588693957,246.81122493787038,10.188775062129608,10.188775062129622,1.0412816518563708,false,true,true,1.888650109576922,true,true,1264652325/5123966,52206937/5123966,1316859262/1264652325,4.3534130982750483,59323542165773551706472503377749575860985301632720888781829597571523820312605910166501725251045610510701775844047088447053130176508621814864577/13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200,5.8353619638545604,203723551608219243434169895659768410796417281331815111889457818491742400631011756800178744067040456013119790410489310467544825030705266822901328307509/34911896274836948283780398887966480924986128590712878421878864583859971061433786668152702157020572320164244931122185631590685441441292338850950816600,97355354,513,0.017638634950136199,0.02364301690623468,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD,"PT--PSD, omitting PDT",3,14,6,19,PT,PSD,PDT,11,"PT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD",1,49370031,97355354,0.5071116170970936,271,513,257,0.5282651072124757,260.14825957080905,10.851740429190983,-3.1482595708090457,1.0417136768360247,true,true,false,,true,false,1332990837/5123966,55603949/5123966,1388594786/1332990837,8.3203480505898941,2834514593897931985322508888437474195643362940532292144150333822505021138403579408461068327019495538623244773298505840574546343543841668043089/340672598870064206942243555948326754363574315195620720569563347842862062916047712535101737179955646857963586517964655030797291018727410943505,2.5313923786010872,4418785407631696826436922051477996580613773846899732721199841950557999017957473122113831272640881133095024480542742484229650069400512786568619330271/1745594813741847414189019944398324046249306429535643921093943229192998553071689333407635107851028616008212246556109281579534272072064616942547540830,97355354,513,0.031983100960647416,0.0097305758753772273,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PMDB|PSD,"PT--PSD, omitting PHS",3,14,6,19,PT,PSD,PHS,11,"PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PMDB, PSD",1,51955309,97355354,0.5336666846283564,286,513,257,0.557504873294347,273.77100921434686,12.228990785653144,-16.77100921434686,1.0446686843166748,true,true,false,,true,false,32623101/119162,1457231/119162,34080332/32623101,8.2567857285386879,922249394247387300601071365661262937299488919396658453649427336276599194966822845840081467655095379853459191148740755730574047827129728448791/111695934055758756374506083917484181758548955801842859203135523882905594398704168044295651534411687494414290661627755747802390497943413424100,3.9722050571144565,26434847681350111398076504549115988766855177399465328452835661179009144480290764773680604366212901062537463529734115100879580310266072792999916979/6654955446976162463549446985887625033356105335629599394182017648467398219869193036247179214071782752604697851910443315209814228257966515221302100,97355354,513,0.030159459733276953,0.014509224583397907,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PHS|PMDB|PSD,"PT--PSD, omitting PMN",3,14,6,19,PT,PSD,PMN,11,"PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PHS, PMDB, PSD",1,52429904,97355354,0.5385415577657907,288,513,257,0.5614035087719298,276.27181913385061,11.728180866149385,-19.271819133850613,1.0424516003945636,true,true,false,,true,false,707803704/2561983,30047400/2561983,10247932/9830607,7.9913961092557892,6049888180311754219629060863920529032826105241443298538987793914612996897984464922919868250391429088682987046270036022159949396894118520744809/757050219711253793204985679885170565252387367101379379043474106317471250924550472300226082622123659684363525595477011179549535597172024318900,3.7367847568935955,7247680101892278215079566478451965309257660589453360433059318645421636033341404464776800375237413781088639397213490247554983080199482233386367863753/1939549793046497126876688827109248940277007143928493245659936921325553947857432592675150119834476240009124718395676979532815857857849574380608378700,97355354,513,0.028925846053752039,0.013525754340811593,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PT|PDT|PSB|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD,"PT--PSD, omitting PPS",3,14,6,19,PT,PSD,PPS,11,"PT, PDT, PSB, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD",1,50942688,97355354,0.52326539740177,281,513,257,0.5477582846003899,268.43514886710801,12.564851132891983,-11.435148867108012,1.0468077715825224,true,true,false,,true,false,687726288/2561983,32190935/2561983,719917223/687726288,7.6729829974603154,34853000784408280671771542932554290780813657365484627963337792932273485775477947635338333041151255768159585420142862104422232793006199132596487/4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400,4.8918681354316664,56928130978123457613083541305711759222215845636893448403376974033888016509769046231588261366192656038492001479435150282376929340408103839681829475279/11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200,97355354,513,0.028584121825487602,0.018223649757034777,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PT|PDT|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD,"PT--PSD, omitting PSB",3,14,6,19,PT,PSD,PSB,11,"PT, PDT, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD",1,46630499,97355354,0.4789721066598967,257,513,257,0.5009746588693957,245.71269071652699,11.287309283472997,11.287309283472979,1.0459370220176982,false,true,true,2.102789334010332,true,true,1259023473/5123966,57835789/5123966,1316859262/1259023473,7.5153460394230542,2006050785808776216658369842259079696046204431404820415923515391678243344992697756174484630830527776589370651330721114928212078297974759961/266927267924282938192978437992068131369473127026401614518472388664560586798337123688156343405579241823246233388544518251001775494096030200,3.7719632440499433,2579506562628922076931510767048974282839021440150764579625877102846758018157978942790381380159223181784856635244073013148668298056874104743251237/683863122658458174840461477502232687410356870398481487568879445727996925847364139157953853147256122704045854755483450502256281785690629739886600,97355354,513,0.030585909166951957,0.015351112850746359,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PT|PDT|PSB|PPS|PV|PTB|SOLIDARIEDADE|PMN|PHS|PMDB|PSD,"PT--PSD, omitting PT DO B",3,14,6,19,PT,PSD,PT DO B,11,"PT, PDT, PSB, PPS, PV, PTB, SOLIDARIEDADE, PMN, PHS, PMDB, PSD",1,52085880,97355354,0.5350078640769977,290,513,257,0.5653021442495126,274.45903427149983,15.540965728500151,-17.45903427149983,1.0566239904244754,true,true,false,,true,false,703159380/2561983,39815690/2561983,74297507/70315938,11.779675384445621,713424467033744448829704700942510075176778942388664145720101806109811573457711542378388438705896607098308720726482869417710509963568967222765/60564017576900303456398854390813645220190989368110350323477928505397700073964037784018086609769892774749082047638160894363962847773761945512,3.7612903440545287,583616792671899939079831963944980155925476528316240660226573337690444768456021009079540343486699914909103007340329485100724066470482982404021540285/155163983443719770150135106168739915222160571514279459652794953706044315828594607414012009586758099200729977471654158362625268628627965950448670296,97355354,513,0.042919612450406541,0.013704377974068772,all_valid_federal_deputy_votes
