"coalition_id","election_year","cabinet_period","source_periods","coalition_parties","electoral_unit","v_Cd","V_d","s_Cd","S_d","within_district_quota","national_quota_contribution","a_Cd","b_Cd","b_Cd_factored","b_crosscheck_residual"
"2014/2016.2",2014,"2016.2","[""2016.2""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","TO",355673,733225,4,8,3.8806423676224897,1.8741675881533952,0.11935763237751032,2.0064747794690945,2.0064747794690945,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","AC",186885,399201,4,8,3.7451809990455938,0.9847635601016869,0.2548190009544064,2.760417438943907,2.760417438943907,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","AL",572320,1384584,3,9,3.720164323724671,3.0157577158006124,-0.7201643237246711,0.7044066079240588,0.7044066079240588,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","AM",1160947,1658407,7,8,5.600299564582156,6.117442816755615,1.3997004354178437,-0.5171432521734585,-0.5171432521734585,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","AP",131328,386084,2,8,2.7212316490711865,0.692013959499341,-0.7212316490711865,2.0292176895718455,2.0292176895718455,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","BA",2995008,6646541,17,39,17.573849615912998,15.781762798582191,-0.573849615912999,1.7920868173308069,1.7920868173308069,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","CE",1532236,4367020,6,22,7.719037696186415,8.073896665200355,-1.7190376961864156,-0.3548589690139391,-0.3548589690139391,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","DF",717910,1454063,4,8,3.949815104297407,3.782923227827819,0.05018489570259335,0.16689187646958734,0.16689187646958734,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","ES",997439,1794470,5,10,5.558404431391999,5.255860987367988,-0.5584044313919988,0.30254344402401073,0.30254344402401073,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","GO",1931006,3032760,12,17,10.824167425051767,10.17515768059351,1.175832574948232,0.649009744458259,0.649009744458259,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","MA",1279021,3130492,8,18,7.354236330902618,6.7396167343811415,0.6457636690973815,0.614619596521477,0.614619596521477,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","MG",5096393,10118666,27,53,26.694114520629498,26.85470805231729,0.305885479370502,-0.16059353168778903,-0.16059353168778903,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","MS",687019,1276893,5,8,4.3043168064982735,3.620147557575519,0.6956831935017265,0.6841692489227549,0.6841692489227549,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","MT",811098,1454612,5,8,4.460834916802557,4.2739639568256305,0.5391650831974437,0.18687095997692552,0.18687095997692552,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","PA",1869777,3756049,9,17,8.462671546617203,9.852520293850505,0.5373284533827967,-1.3898487472333023,-1.3898487472333023,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","PB",1170501,1936819,7,12,7.252103578083445,6.167786242141341,-0.2521035780834451,1.0843173359421037,1.0843173359421037,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","PE",2531794,4483227,15,25,14.118145255638405,13.340923417524628,0.8818547443615949,0.7772218381137768,0.7772218381137768,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","PI",854874,1733434,6,10,4.931678967875327,4.504635276658744,1.0683210321246728,0.4270436912165828,0.4270436912165828,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","PR",3028458,5665222,17,30,16.037101458689527,15.95802275034612,0.9628985413104729,0.07907870834340847,0.07907870834340847,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","RJ",3224104,7673438,20,46,19.327553568556883,16.98895113667811,0.6724464314431159,2.3386024318787717,2.3386024318787717,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","RN",797381,1580871,5,8,4.035147712874738,4.201684203212902,0.9648522871252619,-0.16653649033816384,-0.16653649033816384,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","RO",355306,798475,4,8,3.5598459563543003,1.8722337345720093,0.4401540436456996,1.687612221782291,1.687612221782291,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","RR",93567,238099,3,8,3.1438015279358584,0.49303781484888853,-0.14380152793585863,2.65076371308697,2.65076371308697,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","RS",3032832,5942063,16,31,15.82241588485346,15.981070912648523,0.17758411514654085,-0.1586550277950635,-0.1586550277950635,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","SC",2424075,3391619,13,16,11.435600519987652,12.773313679286709,1.5643994800123482,-1.3377131592990568,-1.3377131592990568,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","SE",373907,1052826,3,8,2.841168436189836,1.9702490219490136,0.15883156381016425,0.870919414240822,0.870919414240822,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","SP",10185776,21266194,36,70,33.52759407724767,53.67247792042336,2.472405922752327,-20.144883843175688,-20.144883843175688,0.0
"2014/2017.1",2014,"2017.1","[""2017.1""]","DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV","TO",550964,733225,7,8,6.011404412015412,2.903225353173694,0.9885955879845887,3.1081790588417175,3.1081790588417175,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","AC",161857,417502,2,8,3.1014366398244797,0.8449938985911348,-1.10143663982448,2.256442741233345,2.256442741233345,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","AL",692112,1460767,5,9,4.264203668346834,3.613253780446366,0.7357963316531657,0.6509498879004681,0.6509498879004681,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","AM",1007774,1770246,6,8,4.554277767044806,5.261205145027909,1.4457222329551938,-0.7069273779831028,-0.7069273779831028,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","AP",136338,364871,4,8,2.989286624587868,0.7117688956678928,1.010713375412132,2.277517728919975,2.277517728919975,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","BA",2961342,6868013,19,39,16.815975450250313,15.460041404707045,2.1840245497496875,1.3559340455432671,1.3559340455432671,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","CE",1265073,4596080,6,22,6.055509477641817,6.604465461934811,-0.055509477641816504,-0.5489559842929941,-0.5489559842929941,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","DF",518674,1439876,4,8,2.8817703746711523,2.7077998811164066,1.1182296253288477,0.17397049355474553,0.17397049355474553,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","ES",854968,1933018,5,10,4.422969677468084,4.463463078462255,0.5770303225319164,-0.04049340099417209,-0.04049340099417209,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","GO",1682477,3031931,11,17,9.433627942060687,8.783573151114359,1.5663720579393132,0.6500547909463286,0.6500547909463286,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","MA",1249105,3270678,7,18,6.874382008867886,6.52110260105945,0.1256179911321139,0.3532794078084361,0.3532794078084361,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","MG",4173844,10087536,23,53,21.92941189999223,21.790053650266696,1.070588100007772,0.13935824972553373,0.13935824972553373,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","MS",750232,1240027,6,8,4.840101062315578,3.916676217450121,1.1598989376844213,0.9234248448654576,0.9234248448654576,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","MT",547362,1408190,2,8,3.1095917454320796,2.8575690289616187,-1.1095917454320794,0.2520227164704608,0.2520227164704608,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","PA",1798943,3956457,9,17,7.729650796154236,9.391597885251993,1.270349203845764,-1.6619470890977566,-1.6619470890977566,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","PB",1058744,1989377,8,12,6.386385285443634,5.527300148711347,1.6136147145563662,0.8590851367322875,0.8590851367322875,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","PE",1661538,4331764,10,25,9.5892689444762,8.674258587996299,0.41073105552380046,0.915010356479901,0.915010356479901,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","PI",687025,1787802,4,10,3.842847250422586,3.5866964862784703,0.15715274957741404,0.25615076414411564,0.25615076414411564,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","PR",2994124,5709044,16,30,15.733583416067559,15.631183771015667,0.2664165839324412,0.10239964505189172,0.10239964505189172,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","RJ",4110062,7733626,26,46,24.446857399103603,21.457072062569285,1.553142600896397,2.989785336534319,2.989785336534319,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","RN",570301,1618823,4,8,2.8183488868146798,2.9773248321692773,1.1816511131853205,-0.15897594535459797,-0.15897594535459797,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","RO",387218,783305,4,8,3.954709851207384,2.0215180525072256,0.045290148792615906,1.9331917987001583,1.9331917987001583,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","RR",146542,270708,6,8,4.330629312765046,0.7650401026050283,1.6693706872349543,3.5655892101600175,3.5655892101600175,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","RS",2088379,5845077,13,31,11.075944594057528,10.90263326853862,1.9240554059424708,0.17331132551890888,0.17331132551890888,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","SC",1931798,3548458,9,16,8.710478748797366,10.085183361303848,0.28952125120263505,-1.3747046125064835,-1.3747046125064835,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","SE",430073,953969,3,8,3.6065993758707044,2.2452477245271143,-0.6065993758707044,1.3613516513435904,1.3613516513435904,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","SP",12201672,21131103,41,70,40.41989857320747,63.70029342327047,0.5801014267925342,-23.280394850063004,-23.280394850063004,0.0
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL","TO",359159,715942,4,8,4.013274818351207,1.8750326746701926,-0.01327481835120722,2.1382421436810146,2.1382421436810146,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","AC",216161,434253,3,8,3.982213133818304,1.0135000241469272,-0.9822131338183041,2.968713109671377,2.968713109671377,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","AL",728401,1650763,4,9,3.9712599567593894,3.4152064021199284,0.028740043240610556,0.556053554639461,0.556053554639461,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","AM",932438,1976477,4,8,3.7741415660288484,4.371861415868322,0.2258584339711517,-0.5977198498394739,-0.5977198498394739,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","AP",201989,423017,5,8,3.8199694102128285,0.9470526893260748,1.1800305897871717,2.8729167208867534,2.8729167208867534,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","BA",4791616,7958431,25,39,23.481138933038434,22.46613834920639,1.5188610669615656,1.0150005838320457,1.0150005838320457,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","CE",3489096,5083860,16,22,15.098785568446024,16.35909752569125,0.9012144315539767,-1.2603119572452286,-1.2603119572452286,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","DF",748683,1607519,2,8,3.7259055725002317,3.5103012966186955,-1.7259055725002317,0.21560427588153636,0.21560427588153636,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","ES",699048,2084430,3,10,3.353665030727825,3.277580899791642,-0.35366503072782485,0.07608413093618306,0.07608413093618306,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","GO",1392355,3439644,8,17,6.881536286894806,6.528244346209976,1.1184637131051935,0.3532919406848304,0.3532919406848304,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","MA",1777054,3707930,8,18,8.626638582713266,8.33195753124011,-0.6266385827132659,0.2946810514731561,0.2946810514731561,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","MG",4314285,11181098,22,53,20.45032652428232,20.22810752946519,1.54967347571768,0.22221899481712823,0.22221899481712823,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","MS",455335,1374808,2,8,2.6495917975455483,2.1348996049007036,-0.6495917975455482,0.5146921926448443,0.5146921926448443,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","MT",990953,1730277,4,8,4.581708015537397,4.646216891245275,-0.5817080155373966,-0.06450887570787815,-0.06450887570787815,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","PA",3047804,4521516,14,17,11.45913627199373,14.290040421700034,2.5408637280062703,-2.830904149706304,-2.830904149706304,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","PB",737500,2209355,3,12,4.005693969506938,3.4578682917286594,-1.0056939695069376,0.5478256777782782,0.5478256777782782,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","PE",2281394,4969863,12,25,11.47614129403567,10.69662369293561,0.5238587059643294,0.7795176011000597,0.7795176011000597,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","PI",1203204,1957483,7,10,6.146689396536266,5.6413843526523255,0.8533106034637338,0.505305043883941,0.505305043883941,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","PR",3155207,6038642,18,30,15.67508224531277,14.793613883580079,2.3249177546872293,0.881468361732692,0.881468361732692,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","RJ",4116308,8575988,25,46,22.079108319647837,19.299865643646122,2.9208916803521645,2.7792426760017146,2.7792426760017146,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","RN",940492,1864825,4,8,4.034660624991621,4.409623681931485,-0.034660624991621196,-0.3749630569398639,-0.3749630569398639,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","RO",453297,869148,6,8,4.172334285990418,2.125344166828103,1.8276657140095818,2.046990119162315,2.046990119162315,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","RR",138626,291714,5,8,3.80169618187677,0.6499667116056639,1.1983038181232304,3.1517294702711056,3.1517294702711056,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","RS",3064745,6149822,16,31,15.448755264786525,14.369470586757899,0.5512447352134745,1.0792846780286272,1.0792846780286272,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","SC",1764478,3969848,8,16,7.111518627413442,8.272993257834306,0.8884813725865575,-1.1614746304208643,-1.1614746304208643,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","SE",695682,1191617,5,8,4.67050738618197,3.2617989544764434,0.32949261381803047,1.4087084317055258,1.4087084317055258,0.0
"2022/2023.1",2022,"2023.1","[""2023.1""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","SP",10875766,23321040,33,70,32.64449698641227,50.992496813099166,0.35550301358773023,-18.347999826686895,-18.347999826686895,0.0
