"coalition_id","election_year","cabinet_period","source_periods","period_start","period_end","period_days","days_overlapping_mandate","cabinet_party_set_id","A_C","B_C","q_C","A_over_q","B_over_q","A_C_exact","B_C_exact"
"2014/2016.9",2014,"2016.9","[""temer-2016-10-26""]",2016-10-26,2017-04-25,182,182,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSB|PSD|PSDB|PTB|PV",20.253867595361555,-3.9388174954975064,329.68494990013596,0.06143400722870912,-0.011947216567485423,"977601766908164759319113103633716913356107076522592972955687142317840188197156391461483902908516398516647251176127282657923641587997225491//48267411757547501877967782198040776897726249934736802514805961702156348683384900526011417808800003805308650297776595440055439165875356200","-11327332729231437016981569689697583538028153130982812511512908852509220857362864860048331544045522241005396103316037828413377905799502816713871//2875820659926437709391198431141467528343427697361553430634654004176177410904755758240286284466113026724094693391827332913943120942019597752200"
"2014/2017.1",2014,"2017.1","[""temer-2017-04-26""]",2017-04-26,2017-04-26,1,1,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSD|PSDB|PTB|PV",19.604503474585236,-4.261774034147886,296.6572705595627,0.06608468903393708,-0.014365985455570386,"89049561976588741652444876384114391780987510310356804387558819378656033873684003160071168237735808914028762098477517140347785482007198644350127//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400","-49595537675654803779424954327491744796982273564282823342545386760216288151320226569917645335977677795240505184758534361173852152903574822927575941041//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200"
"2014/2017.2",2014,"2017.2","[""temer-2017-04-27""]",2017-04-27,2017-08-01,97,97,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSB|PSD|PSDB|PTB|PV",20.253867595361555,-3.9388174954975064,329.68494990013596,0.06143400722870912,-0.011947216567485423,"977601766908164759319113103633716913356107076522592972955687142317840188197156391461483902908516398516647251176127282657923641587997225491//48267411757547501877967782198040776897726249934736802514805961702156348683384900526011417808800003805308650297776595440055439165875356200","-11327332729231437016981569689697583538028153130982812511512908852509220857362864860048331544045522241005396103316037828413377905799502816713871//2875820659926437709391198431141467528343427697361553430634654004176177410904755758240286284466113026724094693391827332913943120942019597752200"
"2014/2017.3",2014,"2017.3","[""temer-2017-08-02""]",2017-08-02,2017-08-02,1,1,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSD|PSDB|PTB|PV",19.604503474585236,-4.261774034147886,296.6572705595627,0.06608468903393708,-0.014365985455570386,"89049561976588741652444876384114391780987510310356804387558819378656033873684003160071168237735808914028762098477517140347785482007198644350127//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400","-49595537675654803779424954327491744796982273564282823342545386760216288151320226569917645335977677795240505184758534361173852152903574822927575941041//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200"
"2014/2017.4",2014,"2017.4","[""temer-2017-08-03""]",2017-08-03,2017-10-17,76,76,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSB|PSD|PSDB|PTB|PV",20.253867595361555,-3.9388174954975064,329.68494990013596,0.06143400722870912,-0.011947216567485423,"977601766908164759319113103633716913356107076522592972955687142317840188197156391461483902908516398516647251176127282657923641587997225491//48267411757547501877967782198040776897726249934736802514805961702156348683384900526011417808800003805308650297776595440055439165875356200","-11327332729231437016981569689697583538028153130982812511512908852509220857362864860048331544045522241005396103316037828413377905799502816713871//2875820659926437709391198431141467528343427697361553430634654004176177410904755758240286284466113026724094693391827332913943120942019597752200"
"2014/2017.5",2014,"2017.5","[""temer-2017-10-18""]",2017-10-18,2018-03-20,154,154,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSD|PSDB|PTB|PV",19.604503474585236,-4.261774034147886,296.6572705595627,0.06608468903393708,-0.014365985455570386,"89049561976588741652444876384114391780987510310356804387558819378656033873684003160071168237735808914028762098477517140347785482007198644350127//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400","-49595537675654803779424954327491744796982273564282823342545386760216288151320226569917645335977677795240505184758534361173852152903574822927575941041//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200"
"2014/2018.1",2014,"2018.1","[""temer-2018-03-21""]",2018-03-21,2018-04-01,12,12,"2014:DEM|PMDB|PP|PR|PRB|PSD|PSDB|PTB|PV",19.112776311846176,-3.464825681416542,286.35204936957035,0.06674572909090282,-0.012099880860097442,"7892362639731923462958367204672919780906113502424613710431283669753809084585038155217599900251639064253606034270109543935927152882027730159897//412936483478865705384537643573729399228574927509843297660076785264075227777027530345577863248431087100561923052078369734299746689366558719400","-3665564690909259514959568107658563136386551531884507185573336515474106850658209842924955525224186008222476124995956992020569086040608958997460145851//1057936250752634796478193905695953967423822078506450861269056502541211244285872323277354610818805221823158937306732897926990467922463404207604570200"
"2014/2018.2",2014,"2018.2","[""temer-2018-04-02""]",2018-04-02,2018-04-05,4,4,"2014:DEM|PMDB|PP|PRB|PSD|PSDB|PTB|PV",14.069938121667574,-2.7264327197972267,256.65649459812965,0.05482011333357511,-0.010622886142297897,"5045518300894191872656154843007839268811022086777929091526380032612815755458256448587251979142348377455968761191049884731982031330328488929793//358602735652699165202361637840343951961657173890127074283750892466170592543208118458001828610479628271540617387331215821891885282870958887900","-2504866745102167393662006345973872066918246950101659571635466713359435321643711595766100900442668749603193635553404890339964040211830504820241262319//918734112495709165362642075999117919078582331334549432154706962733157133195625964951386898868962429478006445555846990305018037932665587864498705700"
"2014/2018.3",2014,"2018.3","[""temer-2018-04-06"",""temer-2018-05-15""]",2018-04-06,2018-07-04,90,90,"2014:PMDB|PP|PRB|PSD|PSDB|PTB|PV",14.319579123634586,-2.4481890714757704,235.12860994784117,0.06090104954395432,-0.010412127524671943,"817051591929472928629075945745249419173685686825612250705188282822878780641317096334190846385221907108723048232243816816255607825479917069//57058352405129167410686288806539837598160036712494677347262142471922765369652583079607030646828735279195321494986208258934996653389510425","-715764939240206016587307180805302326582113542971468083805868172477356240485883251371517389592444194504929948663780848363476903311720508295731079//292365057739900079420664580510890705498493690673574501908341411113288204380077267512081718395308447393597334699378501587702119062081636174345550"
"2014/2018.4",2014,"2018.4","[""temer-2018-07-05""]",2018-07-05,2018-12-31,180,180,"2014:PMDB|PP|PRB|PSD|PSDB|PV",10.235106588083754,-2.738440919342003,214.50333433125826,0.04771537291013688,-0.01276642588274651,"2490585972196148974537480373541226933943921964416442905617895279920701040002709492967258942005497646773254702130253106745531913921352813789224//243337570621474433530173968534519110259695939425443371835402391316330044940034080382215526557111176327116847512831896450569493584805293531075","-1707217238050663281288871382762682780952345113896455848880208192526508180536136915853379431836429778346289279636643607423771707701315792625465766442//623426719193516933638935694427972873660466581977015686104979724711785197525603333359869681375367362860075802341467600564119382882880220336624121725"
