"coalition_id","election_year","cabinet_period","source_periods","period_start","period_end","period_days","days_overlapping_mandate","cabinet_party_set_id","A_C","B_C","q_C","A_over_q","B_over_q","A_C_exact","B_C_exact"
"2022/2023.1",2022,"2023.1","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,255,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",13.196247377886202,-0.9919087234670415,250.79566134558084,0.05261752658353444,-0.003955047380585475,"10497487268074346792160899000840248410623615841056399283426289338360898340882412403622135690913235639511058447948596679249499892666036156185733268203//795490336568383810430275798306058116106485073201320908094873835108126063543250118510510096546683857514751193534681368057738706123762929289374450650","-43166572363286509472550572054050582048605050788637235552479576699515170429576631121182046488300368470720107817100720813128065010845452413539741612395078937//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100"
"2022/2023.2",2022,"2023.2","[""lula_3-2023-09-13""]",2023-09-13,2023-12-03,82,82,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSOL|PT|REDE|REPUBLICANOS|UNIÃO",17.64430125426816,5.1174142827201985,327.23828446301167,0.05391881724114871,0.015638189434704207,"56143484573086938469349516899041985183580179292612617128655577265051619436565937757480151554314583225152160389434865239373246309550885303179616238923//3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600","445406374037796929151897860740165463441662560740333823949647664705966585333951814825574282875288027138875861817562708276373443893266347420493822763047801279//87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200"
"2022/2023.3",2022,"2023.3","[""lula_3-2023-12-04""]",2023-12-04,2023-12-05,2,2,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSDB|PSOL|PT|REDE|REPUBLICANOS|UNIÃO",15.664808130329527,4.581928278121978,342.7532635915485,0.04570287082370989,0.013368007732764175,"16614937989166654003128564368846860599107222907407136592509260266026379921717890480037578273723572470373473133390730158749355954366933638575344411717//1060653782091178413907034397741410821475313430935094544126498446810834751391000158014013462062245143353001591379575157410318274831683905719165934200","132933023574732865683749500288842155498590837299853414492609785441295738584915551639607047421559990960757006657439972097958493702611068433750573984252480491//29012462768015851529861154833388758711693944469531103596135247705531210639499301729216881510863788872553696610605469380478779461460661417968801923729793400"
"2022/2023.4",2022,"2023.4","[""lula_3-2023-12-06""]",2023-12-06,2024-12-02,363,363,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSOL|PT|REDE|REPUBLICANOS|UNIÃO",17.64430125426816,5.1174142827201985,327.23828446301167,0.05391881724114871,0.015638189434704207,"56143484573086938469349516899041985183580179292612617128655577265051619436565937757480151554314583225152160389434865239373246309550885303179616238923//3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600","445406374037796929151897860740165463441662560740333823949647664705966585333951814825574282875288027138875861817562708276373443893266347420493822763047801279//87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200"
"2022/2024.1",2022,"2024.1","[""lula_3-2024-12-03""]",2024-12-03,2024-12-05,3,3,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSDB|PSOL|PT|REDE|REPUBLICANOS|UNIÃO",15.664808130329527,4.581928278121978,342.7532635915485,0.04570287082370989,0.013368007732764175,"16614937989166654003128564368846860599107222907407136592509260266026379921717890480037578273723572470373473133390730158749355954366933638575344411717//1060653782091178413907034397741410821475313430935094544126498446810834751391000158014013462062245143353001591379575157410318274831683905719165934200","132933023574732865683749500288842155498590837299853414492609785441295738584915551639607047421559990960757006657439972097958493702611068433750573984252480491//29012462768015851529861154833388758711693944469531103596135247705531210639499301729216881510863788872553696610605469380478779461460661417968801923729793400"
"2022/2024.2",2022,"2024.2","[""lula_3-2024-12-06""]",2024-12-06,2025-10-07,306,306,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSOL|PT|REDE|REPUBLICANOS|UNIÃO",17.64430125426816,5.1174142827201985,327.23828446301167,0.05391881724114871,0.015638189434704207,"56143484573086938469349516899041985183580179292612617128655577265051619436565937757480151554314583225152160389434865239373246309550885303179616238923//3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600","445406374037796929151897860740165463441662560740333823949647664705966585333951814825574282875288027138875861817562708276373443893266347420493822763047801279//87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200"
"2022/2025.1",2022,"2025.1","[""lula_3-2025-10-08""]",2025-10-08,2025-10-08,1,1,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSDB|PSOL|PT|REDE|REPUBLICANOS",6.308145812537819,2.8350270121558196,294.85682717530636,0.021393928276883096,0.009614927486383965,"872707658354460942196269573968761267555358080887925865671159249150643858045867675377634196909427409697796080006840451268068167478541440345997471047//138346145490153706161787095357575324540258273600229723146934580018804532790130455393132190703771105654739338006031542270911079325871813789456426200","10728406387368252955477085937571287527861611161516351238467819490342844474878409708002728373698112886705186190879747593505169121006123339343173062730439431//3784234274089024112590585413050707658047036235156230903843727961591027474717300225550028023156146374680916949209409049627666886277477576256800250921277400"
"2022/2025.2",2022,"2025.2","[""lula_3-2025-10-09""]",2025-10-09,2025-11-12,35,35,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSOL|PT|REDE|REPUBLICANOS|UNIÃO",17.64430125426816,5.1174142827201985,327.23828446301167,0.05391881724114871,0.015638189434704207,"56143484573086938469349516899041985183580179292612617128655577265051619436565937757480151554314583225152160389434865239373246309550885303179616238923//3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600","445406374037796929151897860740165463441662560740333823949647664705966585333951814825574282875288027138875861817562708276373443893266347420493822763047801279//87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200"
"2022/2025.3",2022,"2025.3","[""lula_3-2025-11-13""]",2025-11-13,2025-11-16,4,4,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSDB|PSOL|PT|REDE|REPUBLICANOS",6.308145812537819,2.8350270121558196,294.85682717530636,0.021393928276883096,0.009614927486383965,"872707658354460942196269573968761267555358080887925865671159249150643858045867675377634196909427409697796080006840451268068167478541440345997471047//138346145490153706161787095357575324540258273600229723146934580018804532790130455393132190703771105654739338006031542270911079325871813789456426200","10728406387368252955477085937571287527861611161516351238467819490342844474878409708002728373698112886705186190879747593505169121006123339343173062730439431//3784234274089024112590585413050707658047036235156230903843727961591027474717300225550028023156146374680916949209409049627666886277477576256800250921277400"
"2022/2025.4",2022,"2025.4","[""lula_3-2025-11-17""]",2025-11-17,2025-12-07,21,21,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSOL|PT|REDE|REPUBLICANOS|UNIÃO",17.64430125426816,5.1174142827201985,327.23828446301167,0.05391881724114871,0.015638189434704207,"56143484573086938469349516899041985183580179292612617128655577265051619436565937757480151554314583225152160389434865239373246309550885303179616238923//3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600","445406374037796929151897860740165463441662560740333823949647664705966585333951814825574282875288027138875861817562708276373443893266347420493822763047801279//87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200"
"2022/2025.5",2022,"2025.5","[""lula_3-2025-12-08""]",2025-12-08,2025-12-18,11,11,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSOL|PT|REDE|REPUBLICANOS",8.287638936476451,3.3705130167540402,279.3418480467695,0.029668447439672098,0.012065907920068331,"2028534365210736779267540307214070195387057417754884789351112245956714492805170988542538712466207402852388525340000395560826638342810578108578833681//244766257405656557055469476401864035725072330215791048644576564648654173397923113387849260475902725389154213395286574786996524961157824396730600200","22566203863312934621278641264444508468208238888896127612044473589228060961646814091601222554281896203909548018113614356393604043736459917241160096391574363//6695183715695965737660266500012790471929371800661023906800441778199510147576761937511588040968566662897006910139723703187410644952460327223569674706875400"
"2022/2025.6",2022,"2025.6","[""lula_3-2025-12-19""]",2025-12-19,2025-12-22,4,4,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSDB|PSOL|PT|REDE|REPUBLICANOS",6.308145812537819,2.8350270121558196,294.85682717530636,0.021393928276883096,0.009614927486383965,"872707658354460942196269573968761267555358080887925865671159249150643858045867675377634196909427409697796080006840451268068167478541440345997471047//138346145490153706161787095357575324540258273600229723146934580018804532790130455393132190703771105654739338006031542270911079325871813789456426200","10728406387368252955477085937571287527861611161516351238467819490342844474878409708002728373698112886705186190879747593505169121006123339343173062730439431//3784234274089024112590585413050707658047036235156230903843727961591027474717300225550028023156146374680916949209409049627666886277477576256800250921277400"
"2022/2025.7",2022,"2025.7","[""lula_3-2025-12-23""]",2025-12-23,2026-03-19,87,87,"2022:MDB|PCdoB|PDT|PP|PSB|PSD|PSOL|PT|REDE|REPUBLICANOS",8.287638936476451,3.3705130167540402,279.3418480467695,0.029668447439672098,0.012065907920068331,"2028534365210736779267540307214070195387057417754884789351112245956714492805170988542538712466207402852388525340000395560826638342810578108578833681//244766257405656557055469476401864035725072330215791048644576564648654173397923113387849260475902725389154213395286574786996524961157824396730600200","22566203863312934621278641264444508468208238888896127612044473589228060961646814091601222554281896203909548018113614356393604043736459917241160096391574363//6695183715695965737660266500012790471929371800661023906800441778199510147576761937511588040968566662897006910139723703187410644952460327223569674706875400"
