election_year,ideological_universe,ideological_party_count,left_original_ordinal_position,right_original_ordinal_position,k,gap_count,coalition_id,q_C,d_C,R_C,minimal_seat_majority,inversion,start_index,end_index,start_party,end_party,parties,interval_size,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,left_removed_seats,right_removed_seats,minimal_connected_winning,minimal_connected_inversion,endpoint_minimal_connected_winning,minimal_ideological_interval_inversion,old_sweep_equivalent
2014,seat_winning,28,4,19,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD,298.0182292388357,7.9817707611642845,1.026782827283923,false,false,1,14,PSOL,PSD,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD",14,56556862,97355354,0.5809322207384712,306,0.5964912280701754,298.0182292388357,7.9817707611642845,-41.018229238835715,1.026782827283923,true,true,votes+seats,false,301,270,false,false,false,false,false
2014,seat_winning,28,4,20,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB,356.44861402280964,3.551385977190364,1.009963248102188,false,false,1,15,PSOL,PSDB,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB",15,67645577,97355354,0.69483160628228,360,0.7017543859649122,356.44861402280964,3.551385977190364,-99.44861402280964,1.009963248102188,true,true,votes+seats,false,355,306,false,false,false,false,false
2014,seat_winning,28,4,21,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN,360.2593172944551,3.7406827055448844,1.0103833059298435,false,false,1,16,PSOL,PTN,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",16,68368759,97355354,0.7022598777669691,364,0.7095516569200779,360.2593172944551,3.7406827055448844,-103.25931729445512,1.0103833059298435,true,true,votes+seats,false,359,360,false,false,false,false,false
2014,seat_winning,28,4,23,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB,362.652606008705,2.3473939912950073,1.006472844679458,false,false,1,17,PSOL,PRTB,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB",17,68822949,97355354,0.7069251579117056,365,0.7115009746588694,362.652606008705,2.3473939912950073,-105.65260600870499,1.006472844679458,true,true,votes+seats,false,360,364,false,false,false,false,false
2014,seat_winning,28,4,24,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS,373.0707389549423,2.9292610450576717,1.0078517576941661,false,false,1,18,PSOL,PROS,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS",18,70800066,97355354,0.7272334092688935,376,0.732943469785575,373.0707389549423,2.9292610450576717,-116.07073895494233,1.0078517576941661,true,true,votes+seats,false,371,365,false,false,false,false,false
2014,seat_winning,28,4,25,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP,376.89009977817966,2.1099002218203395,1.0055981842533463,false,false,1,19,PSOL,PRP,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP",19,71524891,97355354,0.734678557072475,379,0.7387914230019493,376.89009977817966,2.1099002218203395,-119.89009977817966,1.0055981842533463,true,true,votes+seats,false,374,376,false,false,false,false,false
2014,seat_winning,28,4,26,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,406.58565454962036,6.414345450379642,1.0157761233791804,false,false,1,20,PSOL,PR,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",20,77160410,97355354,0.7925646287516966,413,0.8050682261208577,406.58565454962036,6.414345450379642,-149.58565454962036,1.0157761233791804,true,true,votes+seats,false,408,379,false,false,false,false,false
2014,seat_winning,28,4,27,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB,429.9016265915894,4.098373408410623,1.0095332819298777,false,false,1,21,PSOL,PRB,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB",21,81585234,97355354,0.8380148666502717,434,0.8460038986354775,429.9016265915894,4.098373408410623,-172.90162659158938,1.0095332819298777,true,true,votes+seats,false,429,413,false,false,false,false,false
2014,seat_winning,28,4,28,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC,431.6832853691847,4.316714630815284,1.0099997261351539,false,false,1,22,PSOL,PTC,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC",22,81923351,97355354,0.8414878857099117,436,0.8499025341130604,431.6832853691847,4.316714630815284,-174.68328536918472,1.0099997261351539,true,true,votes+seats,false,431,434,false,false,false,false,false
2014,seat_winning,28,4,29,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC,434.3703195922846,3.629680407715398,1.0083561888186152,false,false,1,23,PSOL,PSDC,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",23,82433287,97355354,0.8467257691857399,438,0.8538011695906432,434.3703195922846,3.629680407715398,-177.3703195922846,1.0083561888186152,true,true,votes+seats,false,433,436,false,false,false,false,false
