party,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,representation_ratio,election_year
PMDB,10791949,97355354,0.11085110943153675,65,0.1267056530214425,56.866619138378354,8.133380861621646,1.1430255743150477,2014
PSD,5967953,97355354,0.061300716959028265,36,0.07017543859649122,31.4472677999815,4.5527322000185,1.1447735373697927,2014
PTB,3914193,97355354,0.040205215626867324,25,0.04873294346978557,20.625275616582936,4.374724383417064,1.2121050144852241,2014
PR,5635519,97355354,0.05788607167922167,34,0.06627680311890838,29.695554771440715,4.304445228559285,1.1449525109629886,2014
PP,6429791,97355354,0.06604455467338756,38,0.07407407407407407,33.88085654744782,4.11914345255218,1.1215773115648242,2014
PDT,3528346,97355354,0.03624193077249763,20,0.03898635477582846,18.592110486291283,1.4078895137087173,1.075725104729063,2014
PSB,6267878,97355354,0.06438144120969454,34,0.06627680311890838,33.0276793405733,0.9723206594266998,1.0294395694411456,2014
SOLIDARIEDADE,2689701,97355354,0.02762766390844822,15,0.029239766081871343,14.172991585033937,0.8270084149660626,1.0583510129110179,2014
PROS,1977117,97355354,0.020308251357187813,11,0.021442495126705652,10.418132946237348,0.581867053762652,1.0558513753630685,2014
PMN,468473,97355354,0.004811990103800557,3,0.005847953216374269,2.4685509232496856,0.5314490767503144,1.2152878726320526,2014
PTC,338117,97355354,0.0034730190596400073,2,0.003898635477582846,1.7816587775953237,0.21834122240467635,1.122549404605616,2014
PTN,723182,97355354,0.007428271484688967,4,0.007797270955165692,3.81070327164544,0.1892967283545599,1.049675011372067,2014
PHS,943068,97355354,0.009686863241234786,5,0.009746588693957114,4.969360842753445,0.030639157246555193,1.0061656132883234,2014
PCO,12969,97355354,0.00013321301260945547,0,0.0,0.06833827546865066,-0.06833827546865066,0.0,2014
PCdoB,1913015,97355354,0.01964981812916011,10,0.01949317738791423,10.080356700259136,-0.0803567002591361,0.9920283872239293,2014
PSC,2520421,97355354,0.025888879208430592,13,0.025341130604288498,13.280995033924894,-0.2809950339248939,0.9788423206840209,2014
