"case_id","case_domain","election_year","case_order","case_label","case_display","aggregation_level","component","largest_positive_unit","largest_positive_value","largest_negative_unit","largest_negative_value"
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","district","a_Cd","PE",2.889901849716733,"MG",-1.3876679989239689
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","district","b_Cd","RR",2.8579135016886346,"SP",-20.095717062722105
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","district","d_Cd","RR",4.468432655486004,"SP",-20.54148173504664
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","party","A_i","PR",5.0428381901786,"PT DO B",-3.614965224246245
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","district","a_Cd","RJ",2.4755396472871745,"SP",-1.148737192936357
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","district","b_Cd","RR",3.5161920148106627,"SP",-20.518094515158506
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","district","d_Cd","RJ",5.563957684340607,"SP",-21.66683170809486
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","party","A_i","PR",5.0428381901786,"PT DO B",-3.614965224246245
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","district","a_Cd","RJ",2.900834019900858,"MA",-1.90051787386775
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","district","b_Cd","RR",3.3768645174989853,"SP",-18.628608813538296
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","district","d_Cd","RJ",5.937792132110166,"SP",-19.632631442129007
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","party","A_i","PR",5.0428381901786,"PT DO B",-3.614965224246245
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","district","a_Cd","DF",2.1875434558200024,"MA",-1.8855898689407289
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","district","b_Cd","RR",4.277648800647032,"SP",-21.788788794092678
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","district","d_Cd","RJ",5.296867309423989,"SP",-22.052371737048997
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","party","A_i","PR",5.0428381901786,"PT DO B",-3.614965224246245
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","district","a_Cd","DF",2.181805052463339,"MA",-2.778715294592671
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","district","b_Cd","RR",4.28184165741851,"SP",-21.970684126558336
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","district","d_Cd","RR",5.203584293884854,"SP",-22.536999660028968
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","party","A_i","PR",5.0428381901786,"PSL",-3.295337650937539
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","district","a_Cd","DF",2.184930088998895,"MA",-2.2013798470016854
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","district","b_Cd","RR",4.227532830182543,"SP",-21.903626650369315
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","district","d_Cd","RR",5.213685648968006,"SP",-22.358336882016783
