"election","ever_in_cabinet","n","mean_vote_share","median_vote_share","mean_q_i","median_q_i"
"2014",true,15,0.056346958243987964,0.04545023789857515,28.90598957916583,23.315972041969054
"2014",false,17,0.00910562507883415,0.006861286745462401,4.671185665441919,3.519840100422212
"2018",true,11,0.05052679368288137,0.053168819689044404,25.920245159318142,27.27560450047978
"2018",false,24,0.018508552895346038,0.014034166464914635,9.494887635312518,7.199527396501208
"2022",true,11,0.05799012661049294,0.06956082607277339,29.748934951182875,35.68470377533275
"2022",false,21,0.01724326701355132,0.008724498624063859,8.845795977951825,4.475667794144759
"pooled",true,37,0.055105148564511805,0.053168819689044404,28.26894121359455,27.27560450047978
"pooled",false,62,0.01550176617924296,0.008328903224436721,7.9524060499516365,4.272727354136038
