"case_id","case_domain","election_year","case_order","case_label","case_display","electoral_unit","v_Cd","V_d","s_Cd","S_d","a_Cd","b_Cd","d_Cd"
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","BA",2995008,6646541,17,39,-0.573849615912999,1.7920868173308069,1.218237201417808
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","CE",1532236,4367020,6,22,-1.7190376961864156,-0.3548589690139391,-2.0738966652003548
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","DF",717910,1454063,4,8,0.05018489570259335,0.16689187646958734,0.2170767721721807
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","ES",997439,1794470,5,10,-0.5584044313919988,0.30254344402401073,-0.255860987367988
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","GO",1931006,3032760,12,17,1.175832574948232,0.649009744458259,1.8248423194064909
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","MA",1279021,3130492,8,18,0.6457636690973815,0.614619596521477,1.2603832656188585
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","MG",5096393,10118666,27,53,0.305885479370502,-0.16059353168778903,0.14529194768271297
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","MS",687019,1276893,5,8,0.6956831935017265,0.6841692489227549,1.3798524424244814
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","MT",811098,1454612,5,8,0.5391650831974437,0.18687095997692552,0.7260360431743692
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","PA",1869777,3756049,9,17,0.5373284533827967,-1.3898487472333023,-0.8525202938505057
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","PB",1170501,1936819,7,12,-0.2521035780834451,1.0843173359421037,0.8322137578586587
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","PE",2531794,4483227,15,25,0.8818547443615949,0.7772218381137768,1.6590765824753717
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","PI",854874,1733434,6,10,1.0683210321246728,0.4270436912165828,1.4953647233412555
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","PR",3028458,5665222,17,30,0.9628985413104729,0.07907870834340847,1.0419772496538815
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","RJ",3224104,7673438,20,46,0.6724464314431159,2.3386024318787717,3.011048863321888
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","RN",797381,1580871,5,8,0.9648522871252619,-0.16653649033816384,0.7983157967870981
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","RO",355306,798475,4,8,0.4401540436456996,1.687612221782291,2.1277662654279905
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","RR",93567,238099,3,8,-0.14380152793585863,2.65076371308697,2.5069621851511115
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","RS",3032832,5942063,16,31,0.17758411514654085,-0.1586550277950635,0.01892908735147735
