election_year,start_party,end_party,parties,interval_size,votes,vote_share_pct,seats,seat_share_pct,quota_display,seat_diff_display,required_diff_display,majority_status
2014,PSB,PTN,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,47627762,48.92,260,50.68,250.97,9.03,6.03,seats_only
2014,PTB,PR,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",14,46332636,47.59,257,50.1,244.14,12.86,12.86,seats_only
2014,PT DO B,PSDC,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",16,47691320,48.99,257,50.1,251.3,5.7,5.7,seats_only
2014,SOLIDARIEDADE,PSL,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",16,47687533,48.98,257,50.1,251.28,5.72,5.72,seats_only
2022,MDB,UNIÃO,"MDB, PMN, PSDB, PSD, PMB, PODE, PROS, PRTB, AGIR, PTB, PP, DC, REPUBLICANOS, PSC, UNIÃO",15,54687303,49.98,265,51.66,256.41,8.59,0.59,seats_only
2022,PP,PL,"PP, DC, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL",8,49618909,45.35,258,50.29,232.64,25.36,24.36,seats_only
