election,domain,ideological_universe,k,gap_count,case_identifier,case,case_order,cabinet_period,source_periods,period_start,period_end,period_days,coalition_start_party,coalition_end_party,minimal_ideological_inversion,coalition_parties,coalition_party_count,coalition_vote_total,coalition_vote_share,coalition_seats,coalition_quota_q_C,d_C,gross_positive_party_contribution,gross_negative_party_contribution,net_party_contribution,positive_party_count,negative_party_count,zero_party_count,largest_positive_contributor,largest_positive_d_i,second_largest_positive_contributor,second_largest_positive_d_i,largest_negative_contributor,largest_negative_d_i,second_largest_negative_contributor,second_largest_negative_d_i,largest_positive_share_of_gross_positive,top_two_positive_share_of_gross_positive,largest_negative_share_of_gross_negative,top_two_negative_share_of_gross_negative,cancellation_share,d_C_exact,gross_positive_party_contribution_exact,gross_negative_party_contribution_exact,net_party_contribution_exact,largest_positive_d_i_exact,second_largest_positive_d_i_exact,largest_negative_d_i_exact,second_largest_negative_d_i_exact,contribution_vector_group,contribution_vector_repeated,exact_closure_pass,focal_order,source_case_identifiers
2014,cabinet,not_applicable,,,cabinet/2014/2016.3,Cabinet 2014/2016.3,1,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,22.77317218732521,2.502080029414715,20.271092157910495,5,2,0,PMDB,8.133380861621642,PSD,4.552732200018501,PT,-2.4217233291555798,PCdoB,-0.0803567002591352,0.35714747136318636,0.5570639416102432,0.9678840407523127,1.0,0.19798655285090094,103868387//5123966,58344480//2561983,12820573//5123966,103868387//5123966,41675167//5123966,23328045//5123966,-6204414//2561983,-411745//5123966,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,true,1,cabinet/2014/2016.3
2022,cabinet,not_applicable,,,cabinet/2022/2023.1,Cabinet 2022/2023.1,2,2023.1,"[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,53490123,0.48888043147286714,263,250.79566134558084,12.20433865441916,26.46131885287875,14.25698019845959,12.20433865441916,5,4,0,UNIÃO,11.103563583757866,PT,6.937954845575375,PSOL,-6.0617753157133025,PSB,-5.574577455280933,0.4196148969555197,0.6818072269806948,0.42517947218361524,0.8161863598752488,0.7002738587132111,1335319505//109413508,1447612861//54706754,1559906217//109413508,1335319505//109413508,1214879843//109413508,379552989//54706754,-10697421//1764734,-609934075//109413508,2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO,false,true,2,cabinet/2022/2023.1
2014,ideological,all_parties,0,0,ideological/2014/08-19,Ideological 2014/PSB-PTN,1,,,,,,PSB,PTN,true,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,47627762,0.4892156419050153,260,250.96762429727286,9.032375702727146,19.611551481801403,10.579175779074257,9.032375702727146,8,4,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4147239890311094,0.6468694265934166,0.4187835495405354,0.7289528721914527,0.7008228511794661,23140793//2561983,100488923//5123966,54207337//5123966,23140793//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPS|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,false,true,3,ideological/2014/08-19
2014,ideological,all_parties,0,0,ideological/2014/11-24,Ideological 2014/PTB-PR,5,,,,,,PTB,PR,true,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",14,46332636,0.47591256254894826,257,244.14314458761046,12.856855412389544,23.525543104696634,10.668687692307092,12.856855412389544,9,5,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.34572553013655594,0.5392484673013772,0.4152698918320207,0.7228368466662629,0.6240051285634965,32939045//2561983,120544083//5123966,54665993//5123966,32939045//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPL|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|SOLIDARIEDADE,false,true,4,ideological/2014/11-24
2014,ideological,all_parties,0,0,ideological/2014/12-27,Ideological 2014/PT DO B-PSDC,6,,,,,,PT DO B,PSDC,true,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",16,47691320,0.48986848735612426,257,251.30253401369174,5.697465986308262,19.36915994368425,13.671693957375986,5.697465986308262,9,7,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4199139707281789,0.6549645466569002,0.32405529247410847,0.5640647452771493,0.8275629920652432,14596811//2561983,99246917//5123966,70053295//5123966,14596811//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPL|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PT DO B|PTC|PTN|SOLIDARIEDADE,false,true,5,ideological/2014/12-27
2014,ideological,all_parties,0,0,ideological/2014/13-28,Ideological 2014/SOLIDARIEDADE-PSL,8,,,,,,SOLIDARIEDADE,PSL,true,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",16,47687533,0.48982958862231657,257,251.2825789632484,5.71742103675161,19.36915994368425,13.651738906932637,5.71742103675161,9,7,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PSL,-3.2613807351571027,0.4199139707281789,0.6549645466569002,0.3245289713037315,0.5634275290179364,0.8268544698732573,29295871//5123966,99246917//5123966,34975523//2561983,29295871//5123966,41675167//5123966,23328045//5123966,-22701141//5123966,-8355602//2561983,2014:PHS|PMDB|PMN|PPL|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PSL|PTC|PTN|SOLIDARIEDADE,false,true,6,ideological/2014/13-28
2022,ideological,all_parties,0,0,ideological/2022/15-29,Ideological 2022/MDB-UNIÃO,9,,,,,,MDB,UNIÃO,true,"MDB, PMN, PSDB, PSD, PMB, PODE, PROS, PRTB, AGIR, PTB, PP, DC, REPUBLICANOS, PSC, UNIÃO",15,54687303,0.49982222487556105,265,256.40880136116283,8.591198638837172,29.494763955470653,20.903565316633482,8.591198638837172,5,10,0,UNIÃO,11.103563583757866,PP,6.242080657901948,PTB,-5.670295919951675,PODE,-4.93565896817786,0.37645880470585663,0.5880923226863989,0.27125975086363285,0.5073754035485093,0.8295340587095124,939993181//109413508,806781398//27353377,2287132411//109413508,939993181//109413508,1214879843//109413508,341483971//54706754,-5003282//882367,-270013881//54706754,2022:AGIR|DC|MDB|PMB|PMN|PODE|PP|PROS|PRTB|PSC|PSD|PSDB|PTB|REPUBLICANOS|UNIÃO,false,true,7,ideological/2022/15-29
2022,ideological,all_parties,0,0,ideological/2022/25-32,Ideological 2022/PP-PL,14,,,,,,PP,PL,true,"PP, DC, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL",8,49618909,0.4534989317772354,258,232.64495200172175,25.355047998278238,35.440681620408334,10.085633622130095,25.355047998278238,4,4,0,PL,13.779741154081268,UNIÃO,11.103563583757866,NOVO,-3.3519469826339905,PATRIOTA,-3.1575294889548737,0.3888114032814277,0.70211134775439,0.3323486761683553,0.6454206761294248,0.4430683031736502,2774184747//109413508,1938844651//54706754,1103504555//109413508,2774184747//109413508,1507689819//109413508,1214879843//109413508,-183374139//54706754,-172738189//54706754,2022:DC|NOVO|PATRIOTA|PL|PP|PSC|REPUBLICANOS|UNIÃO,false,true,8,ideological/2022/25-32
