event_id,date,event_type,record_id,person_id,person_name,office_id,party_id,state,date_status,evidence_ids,decision_ids
service-jair_bolsonaro-0-4-end,2022-12-30,services_end,service-jair_bolsonaro-0-4,person-af97e0cae87f,Ciro Nogueira,bolsonaro-casa-civil,,,adjudicated_source_boundary,C010;C036;LEG-d1a5739ab53a,C010;C036;POPULATION-REVIEW
service-jair_bolsonaro-0-53-end,2022-12-30,services_end,service-jair_bolsonaro-0-53,person-3695143e73fd,Daniel Duarte Ferreira,bolsonaro-desenvolvimento-regional,,,adjudicated_source_boundary,C037;LEG-c4002690b590,C037;POPULATION-REVIEW
affiliation-017d672040b0-start,2023-01-01,affiliations_start,affiliation-017d672040b0,person-a4d00cc5738e,Silvio Almeida,,,UNAFFILIATED,adjudicated_continuity,LEG-5e67e9e2f44e,PERSON-CONTINUITY-REVIEW
affiliation-03c9fed66d5d-start,2023-01-01,affiliations_start,affiliation-03c9fed66d5d,person-bb7b68961b8f,Geraldo Alckmin,,PSB,PARTY,adjudicated_continuity,LEG-de8718bf31f7,PERSON-CONTINUITY-REVIEW
affiliation-09d1f6259269-start,2023-01-01,affiliations_start,affiliation-09d1f6259269,person-95a7db1ddc55,Marina Silva,,REDE,PARTY,adjudicated_continuity,LEG-1d889ee6861c,PERSON-CONTINUITY-REVIEW
affiliation-0e1f4321662d-start,2023-01-01,affiliations_start,affiliation-0e1f4321662d,person-c0ab45f1955b,Wellington Dias,,PT,PARTY,adjudicated_continuity,LEG-880bd4a97d76,PERSON-CONTINUITY-REVIEW
affiliation-11634b1466ac-start,2023-01-01,affiliations_start,affiliation-11634b1466ac,person-aea12d3cd8f6,Anielle Franco,,,UNAFFILIATED,supported_date,AFF-033,PERSON-CONTINUITY-REVIEW
affiliation-15b98927b738-start,2023-01-01,affiliations_start,affiliation-15b98927b738,person-8aa66af5537a,Esther Dweck,,,UNAFFILIATED,adjudicated_continuity,LEG-da6ce3b869d1,PERSON-CONTINUITY-REVIEW
affiliation-170b4b064d8f-end,2023-01-01,affiliations_end,affiliation-170b4b064d8f,person-6e58f0606af5,Wagner Rosário,,,UNAFFILIATED,supported_date,LEG-300fa8e71e1b;LEG-0a433c253eb3,PERSON-CONTINUITY-REVIEW
affiliation-173dac1efde4-end,2023-01-01,affiliations_end,affiliation-173dac1efde4,person-f9bec775a094,José Carlos Oliveira,,,UNAFFILIATED,adjudicated_continuity,OFF-025;ATLAS-637,PERSON-CONTINUITY-REVIEW
affiliation-1ff82b1cd2c5-end,2023-01-01,affiliations_end,affiliation-1ff82b1cd2c5,person-d75dc2747d17,Célio Faria Júnior,,,UNAFFILIATED,adjudicated_continuity,LEG-0561fae55600,PERSON-CONTINUITY-REVIEW
affiliation-20ee72e20ccc-end,2023-01-01,affiliations_end,affiliation-20ee72e20ccc,person-9cdf4e7199c3,Cristiane Britto,,REPUBLICANOS,PARTY,evidence_supported,LEG-8c8c4650eaeb;BOL-E18;BOL-E22,PERSON-CONTINUITY-REVIEW;R25
affiliation-21245128bf6f-end,2023-01-01,affiliations_end,affiliation-21245128bf6f,person-88d109b51eb0,Ronaldo Vieira Bento,,,UNAFFILIATED,adjudicated_continuity,LEG-e0e4ca4ca8d3,PERSON-CONTINUITY-REVIEW
affiliation-23117927af6d-start,2023-01-01,affiliations_start,affiliation-23117927af6d,person-e4833e3cf7cd,Renan Filho,,MDB,PARTY,adjudicated_continuity,LEG-8ccea40b6f1d,PERSON-CONTINUITY-REVIEW
