period_id,party_id,membership_status,exhaustive_primary
temer-2017-04-27,PSD,definitely_represented_core,true
temer-2017-04-27,PSDB,definitely_represented_core,true
temer-2017-04-27,PTB,definitely_represented_core,true
temer-2017-04-27,PV,definitely_represented_core,true
temer-2017-04-27,REPUBLICANOS,definitely_represented_core,true
temer-2017-08-02,CIDADANIA,definitely_represented_core,true
temer-2017-08-02,DEM,definitely_represented_core,true
temer-2017-08-02,MDB,definitely_represented_core,true
temer-2017-08-02,PL,definitely_represented_core,true
temer-2017-08-02,PP,definitely_represented_core,true
temer-2017-08-02,PSD,definitely_represented_core,true
temer-2017-08-02,PSDB,definitely_represented_core,true
temer-2017-08-02,PTB,definitely_represented_core,true
temer-2017-08-02,PV,definitely_represented_core,true
temer-2017-08-02,REPUBLICANOS,definitely_represented_core,true
temer-2017-08-03,CIDADANIA,definitely_represented_core,true
temer-2017-08-03,DEM,definitely_represented_core,true
temer-2017-08-03,MDB,definitely_represented_core,true
temer-2017-08-03,PL,definitely_represented_core,true
temer-2017-08-03,PP,definitely_represented_core,true
temer-2017-08-03,PSB,definitely_represented_core,true
temer-2017-08-03,PSD,definitely_represented_core,true
temer-2017-08-03,PSDB,definitely_represented_core,true
temer-2017-08-03,PTB,definitely_represented_core,true
temer-2017-08-03,PV,definitely_represented_core,true
temer-2017-08-03,REPUBLICANOS,definitely_represented_core,true
temer-2017-10-18,CIDADANIA,definitely_represented_core,true
temer-2017-10-18,DEM,definitely_represented_core,true
temer-2017-10-18,MDB,definitely_represented_core,true
temer-2017-10-18,PL,definitely_represented_core,true
temer-2017-10-18,PP,definitely_represented_core,true
temer-2017-10-18,PSD,definitely_represented_core,true
temer-2017-10-18,PSDB,definitely_represented_core,true
temer-2017-10-18,PTB,definitely_represented_core,true
temer-2017-10-18,PV,definitely_represented_core,true
temer-2017-10-18,REPUBLICANOS,definitely_represented_core,true
temer-2018-03-21,DEM,definitely_represented_core,true
temer-2018-03-21,MDB,definitely_represented_core,true
temer-2018-03-21,PL,definitely_represented_core,true
temer-2018-03-21,PP,definitely_represented_core,true
temer-2018-03-21,PSD,definitely_represented_core,true
temer-2018-03-21,PSDB,definitely_represented_core,true
temer-2018-03-21,PTB,definitely_represented_core,true
temer-2018-03-21,PV,definitely_represented_core,true
temer-2018-03-21,REPUBLICANOS,definitely_represented_core,true
temer-2018-04-02,DEM,definitely_represented_core,true
temer-2018-04-02,MDB,definitely_represented_core,true
temer-2018-04-02,PP,definitely_represented_core,true
temer-2018-04-02,PSD,definitely_represented_core,true
temer-2018-04-02,PSDB,definitely_represented_core,true
temer-2018-04-02,PTB,definitely_represented_core,true
temer-2018-04-02,PV,definitely_represented_core,true
temer-2018-04-02,REPUBLICANOS,definitely_represented_core,true
temer-2018-04-06,MDB,definitely_represented_core,true
temer-2018-04-06,PP,definitely_represented_core,true
temer-2018-04-06,PSD,definitely_represented_core,true
temer-2018-04-06,PSDB,definitely_represented_core,true
temer-2018-04-06,PTB,definitely_represented_core,true
temer-2018-04-06,PV,definitely_represented_core,true
temer-2018-04-06,REPUBLICANOS,definitely_represented_core,true
temer-2018-05-15,MDB,definitely_represented_core,true
temer-2018-05-15,PP,definitely_represented_core,true
temer-2018-05-15,PSD,definitely_represented_core,true
temer-2018-05-15,PSDB,definitely_represented_core,true
temer-2018-05-15,PTB,definitely_represented_core,true
temer-2018-05-15,PV,definitely_represented_core,true
temer-2018-05-15,REPUBLICANOS,definitely_represented_core,true
temer-2018-07-05,MDB,definitely_represented_core,true
temer-2018-07-05,PP,definitely_represented_core,true
temer-2018-07-05,PSD,definitely_represented_core,true
temer-2018-07-05,PSDB,definitely_represented_core,true
temer-2018-07-05,PV,definitely_represented_core,true
temer-2018-07-05,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2019-01-01,DEM,definitely_represented_core,true
bolsonaro-2019-01-01,MDB,definitely_represented_core,true
bolsonaro-2019-01-01,NOVO,definitely_represented_core,true
bolsonaro-2019-01-01,PP,definitely_represented_core,true
bolsonaro-2019-01-01,PSL,definitely_represented_core,true
bolsonaro-2020-02-11,DEM,definitely_represented_core,true
bolsonaro-2020-02-11,MDB,definitely_represented_core,true
bolsonaro-2020-02-11,NOVO,definitely_represented_core,true
bolsonaro-2020-02-11,PP,definitely_represented_core,true
bolsonaro-2020-02-11,PSDB,definitely_represented_core,true
bolsonaro-2020-02-11,PSL,definitely_represented_core,true
bolsonaro-2020-02-18,DEM,definitely_represented_core,true
bolsonaro-2020-02-18,NOVO,definitely_represented_core,true
bolsonaro-2020-02-18,PP,definitely_represented_core,true
bolsonaro-2020-02-18,PSDB,definitely_represented_core,true
bolsonaro-2020-02-18,PSL,definitely_represented_core,true
bolsonaro-2020-04-16,DEM,definitely_represented_core,true
bolsonaro-2020-04-16,MDB,definitely_represented_core,true
bolsonaro-2020-04-16,NOVO,definitely_represented_core,true
bolsonaro-2020-04-16,PP,definitely_represented_core,true
bolsonaro-2020-04-16,PSDB,definitely_represented_core,true
bolsonaro-2020-04-16,PSL,definitely_represented_core,true
bolsonaro-2020-04-17,DEM,definitely_represented_core,true
bolsonaro-2020-04-17,NOVO,definitely_represented_core,true
bolsonaro-2020-04-17,PP,definitely_represented_core,true
bolsonaro-2020-04-17,PSDB,definitely_represented_core,true
bolsonaro-2020-04-17,PSL,definitely_represented_core,true
bolsonaro-2020-05-07,DEM,definitely_represented_core,true
bolsonaro-2020-05-07,PP,definitely_represented_core,true
bolsonaro-2020-05-07,PSDB,definitely_represented_core,true
bolsonaro-2020-05-07,PSL,definitely_represented_core,true
bolsonaro-2020-06-17,DEM,definitely_represented_core,true
bolsonaro-2020-06-17,PP,definitely_represented_core,true
bolsonaro-2020-06-17,PSD,definitely_represented_core,true
bolsonaro-2020-06-17,PSDB,definitely_represented_core,true
bolsonaro-2020-06-17,PSL,definitely_represented_core,true
bolsonaro-2020-06-18,DEM,definitely_represented_core,true
bolsonaro-2020-06-18,PP,definitely_represented_core,true
bolsonaro-2020-06-18,PSD,definitely_represented_core,true
bolsonaro-2020-06-18,PSL,definitely_represented_core,true
bolsonaro-2020-09-19,DEM,definitely_represented_core,true
bolsonaro-2020-09-19,PSD,definitely_represented_core,true
bolsonaro-2020-09-19,PSL,definitely_represented_core,true
bolsonaro-2020-12-09,DEM,definitely_represented_core,true
bolsonaro-2020-12-09,PSC,definitely_represented_core,true
bolsonaro-2020-12-09,PSD,definitely_represented_core,true
bolsonaro-2020-12-09,PSL,definitely_represented_core,true
bolsonaro-2021-02-12,DEM,definitely_represented_core,true
bolsonaro-2021-02-12,PSC,definitely_represented_core,true
bolsonaro-2021-02-12,PSD,definitely_represented_core,true
bolsonaro-2021-02-12,PSL,definitely_represented_core,true
bolsonaro-2021-02-12,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2021-03-31,DEM,definitely_represented_core,true
bolsonaro-2021-03-31,PL,definitely_represented_core,true
bolsonaro-2021-03-31,PSC,definitely_represented_core,true
bolsonaro-2021-03-31,PSD,definitely_represented_core,true
bolsonaro-2021-03-31,PSL,definitely_represented_core,true
bolsonaro-2021-03-31,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2021-07-28,DEM,definitely_represented_core,true
bolsonaro-2021-07-28,PL,definitely_represented_core,true
bolsonaro-2021-07-28,PP,definitely_represented_core,true
bolsonaro-2021-07-28,PSC,definitely_represented_core,true
bolsonaro-2021-07-28,PSD,definitely_represented_core,true
bolsonaro-2021-07-28,PSL,definitely_represented_core,true
bolsonaro-2021-07-28,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2022-02-08,PL,definitely_represented_core,true
bolsonaro-2022-02-08,PP,definitely_represented_core,true
bolsonaro-2022-02-08,PSC,definitely_represented_core,true
bolsonaro-2022-02-08,PSD,definitely_represented_core,true
bolsonaro-2022-02-08,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2022-02-08,UNIAO,definitely_represented_core,true
bolsonaro-2022-03-24,PL,definitely_represented_core,true
bolsonaro-2022-03-24,PP,definitely_represented_core,true
bolsonaro-2022-03-24,PSC,definitely_represented_core,true
bolsonaro-2022-03-24,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2022-03-24,UNIAO,definitely_represented_core,true
bolsonaro-2022-03-27,PL,definitely_represented_core,true
bolsonaro-2022-03-27,PP,definitely_represented_core,true
bolsonaro-2022-03-27,PSC,definitely_represented_core,true
bolsonaro-2022-03-27,UNIAO,definitely_represented_core,true
bolsonaro-2022-03-28,PL,definitely_represented_core,true
bolsonaro-2022-03-28,PP,definitely_represented_core,true
bolsonaro-2022-03-28,PSC,definitely_represented_core,true
bolsonaro-2022-03-28,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2022-03-28,UNIAO,definitely_represented_core,true
bolsonaro-2022-03-30,PL,definitely_represented_core,true
bolsonaro-2022-03-30,PP,definitely_represented_core,true
bolsonaro-2022-03-30,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2022-03-30,UNIAO,definitely_represented_core,true
bolsonaro-2022-03-31,PP,definitely_represented_core,true
bolsonaro-2022-03-31,PSD,definitely_represented_core,true
bolsonaro-2022-03-31,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2022-05-11,PP,definitely_represented_core,true
bolsonaro-2022-05-11,PSD,definitely_represented_core,true
bolsonaro-2022-05-11,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2022-05-11,UNIAO,definitely_represented_core,true
bolsonaro-2022-12-30,NOVO,definitely_represented_core,true
bolsonaro-2022-12-30,PSD,definitely_represented_core,true
bolsonaro-2022-12-30,REPUBLICANOS,definitely_represented_core,true
bolsonaro-2022-12-30,UNIAO,definitely_represented_core,true
lula_3-2023-01-01,MDB,definitely_represented_core,true
lula_3-2023-01-01,PCdoB,definitely_represented_core,true
lula_3-2023-01-01,PDT,definitely_represented_core,true
lula_3-2023-01-01,PSB,definitely_represented_core,true
lula_3-2023-01-01,PSD,definitely_represented_core,true
lula_3-2023-01-01,PSOL,definitely_represented_core,true
lula_3-2023-01-01,PT,definitely_represented_core,true
lula_3-2023-01-01,REDE,definitely_represented_core,true
lula_3-2023-01-01,UNIAO,definitely_represented_core,true
lula_3-2023-09-13,MDB,definitely_represented_core,true
lula_3-2023-09-13,PCdoB,definitely_represented_core,true
lula_3-2023-09-13,PDT,definitely_represented_core,true
lula_3-2023-09-13,PP,definitely_represented_core,true
lula_3-2023-09-13,PSB,definitely_represented_core,true
lula_3-2023-09-13,PSD,definitely_represented_core,true
lula_3-2023-09-13,PSOL,definitely_represented_core,true
lula_3-2023-09-13,PT,definitely_represented_core,true
lula_3-2023-09-13,REDE,definitely_represented_core,true
lula_3-2023-09-13,REPUBLICANOS,definitely_represented_core,true
lula_3-2023-09-13,UNIAO,definitely_represented_core,true
lula_3-2023-12-04,MDB,definitely_represented_core,true
lula_3-2023-12-04,PCdoB,definitely_represented_core,true
lula_3-2023-12-04,PDT,definitely_represented_core,true
lula_3-2023-12-04,PP,definitely_represented_core,true
lula_3-2023-12-04,PSB,definitely_represented_core,true
lula_3-2023-12-04,PSD,definitely_represented_core,true
lula_3-2023-12-04,PSDB,definitely_represented_core,true
lula_3-2023-12-04,PSOL,definitely_represented_core,true
lula_3-2023-12-04,PT,definitely_represented_core,true
lula_3-2023-12-04,REDE,definitely_represented_core,true
lula_3-2023-12-04,REPUBLICANOS,definitely_represented_core,true
lula_3-2023-12-04,UNIAO,definitely_represented_core,true
lula_3-2023-12-06,MDB,definitely_represented_core,true
lula_3-2023-12-06,PCdoB,definitely_represented_core,true
lula_3-2023-12-06,PDT,definitely_represented_core,true
lula_3-2023-12-06,PP,definitely_represented_core,true
lula_3-2023-12-06,PSB,definitely_represented_core,true
lula_3-2023-12-06,PSD,definitely_represented_core,true
lula_3-2023-12-06,PSOL,definitely_represented_core,true
lula_3-2023-12-06,PT,definitely_represented_core,true
lula_3-2023-12-06,REDE,definitely_represented_core,true
lula_3-2023-12-06,REPUBLICANOS,definitely_represented_core,true
lula_3-2023-12-06,UNIAO,definitely_represented_core,true
lula_3-2024-12-03,MDB,definitely_represented_core,true
lula_3-2024-12-03,PCdoB,definitely_represented_core,true
lula_3-2024-12-03,PDT,definitely_represented_core,true
lula_3-2024-12-03,PP,definitely_represented_core,true
lula_3-2024-12-03,PSB,definitely_represented_core,true
lula_3-2024-12-03,PSD,definitely_represented_core,true
lula_3-2024-12-03,PSDB,definitely_represented_core,true
lula_3-2024-12-03,PSOL,definitely_represented_core,true
lula_3-2024-12-03,PT,definitely_represented_core,true
lula_3-2024-12-03,REDE,definitely_represented_core,true
lula_3-2024-12-03,REPUBLICANOS,definitely_represented_core,true
lula_3-2024-12-03,UNIAO,definitely_represented_core,true
lula_3-2024-12-06,MDB,definitely_represented_core,true
lula_3-2024-12-06,PCdoB,definitely_represented_core,true
lula_3-2024-12-06,PDT,definitely_represented_core,true
lula_3-2024-12-06,PP,definitely_represented_core,true
lula_3-2024-12-06,PSB,definitely_represented_core,true
lula_3-2024-12-06,PSD,definitely_represented_core,true
lula_3-2024-12-06,PSOL,definitely_represented_core,true
lula_3-2024-12-06,PT,definitely_represented_core,true
lula_3-2024-12-06,REDE,definitely_represented_core,true
lula_3-2024-12-06,REPUBLICANOS,definitely_represented_core,true
