evidence_id,snapshot_path,source_locator,snapshot_kind,sha256
ATLAS-511,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L511,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-512,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L512,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-513,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L513,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-514,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L514,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-515,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L515,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-516,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L516,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-517,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L517,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-518,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L518,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-519,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L519,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-520,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L520,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-521,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L521,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-522,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L522,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-523,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L523,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-524,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L524,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-525,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L525,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-526,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L526,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-527,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L527,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-528,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L528,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-529,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L529,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-530,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L530,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-531,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L531,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-532,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L532,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-533,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L533,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-534,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L534,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-535,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L535,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-536,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L536,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-537,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L537,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-538,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L538,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-539,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L539,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-540,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L540,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-541,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L541,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-542,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L542,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-543,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L543,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-544,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L544,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-545,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L545,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-546,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L546,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-547,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L547,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-548,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L548,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-549,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L549,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-550,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L550,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-551,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L551,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-552,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L552,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-553,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L553,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-554,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L554,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-555,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L555,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-556,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L556,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-557,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L557,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-558,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L558,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-559,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L559,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-560,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L560,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-561,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L561,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-562,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L562,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-563,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L563,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-564,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L564,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-565,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L565,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-566,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L566,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
