office_id,administration_id,start_inclusive,end_exclusive,accounting_state,service_ids,capacities,gap_ids,evidence_ids
bolsonaro-secretaria-governo,bolsonaro,2019-06-13,2021-03-30,OFFICEHOLDER,service-jair_bolsonaro-0-46,titular,,C049;LEG-ce9aa704d046
bolsonaro-secretaria-governo,bolsonaro,2021-03-30,2021-03-31,OFFICEHOLDER,service-C059-person-jonathas-assuncao-salvador-nery-de-castro,vacancy_acting,,C036;C059
bolsonaro-secretaria-governo,bolsonaro,2021-03-31,2022-03-31,OFFICEHOLDER,service-jair_bolsonaro-0-47,titular,,LEG-f997e70b3675;OFF-026;OFF-027;OFF-028
bolsonaro-secretaria-governo,bolsonaro,2022-03-31,2023-01-01,OFFICEHOLDER,service-jair_bolsonaro-0-48,titular,,C039;LEG-0561fae55600
bolsonaro-trabalho,bolsonaro,2021-07-28,2022-03-31,OFFICEHOLDER,service-9652707b0ac0,titular,,ATLAS-636;OFF-023;OFF-024;OFF-031–OFF-034
bolsonaro-trabalho,bolsonaro,2022-03-31,2023-01-01,OFFICEHOLDER,service-df493137b62f,titular,,ATLAS-637;OFF-025
bolsonaro-turismo,bolsonaro,2019-01-01,2020-12-09,OFFICEHOLDER,service-jair_bolsonaro-0-58,titular,,LEG-3711a94038ea
bolsonaro-turismo,bolsonaro,2020-12-09,2022-03-31,OFFICEHOLDER,service-jair_bolsonaro-0-59,titular,,AFF-032;BOL-E20;LEG-6a60736fa9a9
bolsonaro-turismo,bolsonaro,2022-03-31,2023-01-01,OFFICEHOLDER,service-jair_bolsonaro-0-60,titular,,LEG-3a3c01153d10
dilma_2-agricultura,dilma_2,2015-01-01,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-3,titular,,LEG-bbe559c76692
dilma_2-agu,dilma_2,2015-01-01,2016-03-03,OFFICEHOLDER,service-dilma_rousseff-1-1,titular,,LEG-6acbef0c8e72
dilma_2-agu,dilma_2,2016-03-03,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-2,titular,,LEG-6eb6d5643016
dilma_2-assuntos-estrategicos,dilma_2,2015-01-01,2015-02-05,OFFICEHOLDER,service-dilma_rousseff-1-4,titular,,LEG-165ae748c303
dilma_2-assuntos-estrategicos,dilma_2,2015-02-05,2015-09-14,OFFICEHOLDER,service-dilma_rousseff-1-5,titular,,LEG-7076a873efe6
dilma_2-assuntos-estrategicos,dilma_2,2015-09-14,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-6,titular,,C024;LEG-f2d52d14d0bb
dilma_2-aviacao-civil,dilma_2,2015-01-01,2015-12-08,OFFICEHOLDER,service-dilma_rousseff-1-7,titular,,C021;LEG-d2f12b350683
dilma_2-aviacao-civil,dilma_2,2015-12-08,2016-03-17,OFFICEHOLDER,service-dilma_rousseff-1-8,vacancy_acting,,C021;LEG-f1b582114b4b
dilma_2-aviacao-civil,dilma_2,2016-03-17,2016-04-18,OFFICEHOLDER,service-dilma_rousseff-1-9,titular,,LEG-90f1b4fb4472
dilma_2-aviacao-civil,dilma_2,2016-04-18,2016-04-29,OFFICEHOLDER,service-dilma_rousseff-1-10,titular,,LEG-7a1f7e7148d0
dilma_2-aviacao-civil,dilma_2,2016-04-29,2016-05-12,OFFICEHOLDER,service-f6b7136b576a,titular,,ATLAS-554
dilma_2-banco-central,dilma_2,2015-01-01,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-11,titular,,LEG-3a3bd99ec9c2
dilma_2-casa-civil,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-12,titular,,C024;LEG-d255b4dea116
dilma_2-casa-civil,dilma_2,2015-10-05,2016-03-16,OFFICEHOLDER,service-dilma_rousseff-1-13,titular,,C024;LEG-8fea2cf59c34
dilma_2-casa-civil,dilma_2,2016-03-16,2016-03-17,OFFICEHOLDER,service-C055-person-884dd07ee0fc,vacancy_acting,,C031;C055;LEG-f7165c075478
dilma_2-casa-civil,dilma_2,2016-03-17,2016-03-18,OFFICEHOLDER,service-d627a715ad62,judicially_interrupted,,OFF-047
dilma_2-casa-civil,dilma_2,2016-03-18,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-15,vacancy_acting,,C031;LEG-f7165c075478
dilma_2-cgu,dilma_2,2015-01-01,2015-12-21,OFFICEHOLDER,service-dilma_rousseff-1-25,titular,,LEG-8a829ddf0700
dilma_2-cgu,dilma_2,2015-12-21,2016-02-29,OFFICEHOLDER,service-dilma_rousseff-1-26,titular,,LEG-f1564ca79a01
dilma_2-cgu,dilma_2,2016-02-29,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-27,titular,,LEG-27767c7555e1
dilma_2-cidades,dilma_2,2015-01-01,2016-04-19,OFFICEHOLDER,service-dilma_rousseff-1-19,titular,,LEG-79221ce8a4c6
dilma_2-cidades,dilma_2,2016-04-19,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-20,titular,,LEG-c8ef1de4a884
dilma_2-ciencia-tecnologia,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-16,titular,,C024;LEG-9551d742d972
dilma_2-ciencia-tecnologia,dilma_2,2015-10-05,2016-04-14,OFFICEHOLDER,service-dilma_rousseff-1-17,titular,,C024;LEG-c63d31861f21
dilma_2-ciencia-tecnologia,dilma_2,2016-04-14,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-18,titular,,LEG-3adefb71d2bc
dilma_2-comunicacao-social,dilma_2,2015-01-01,2015-03-25,OFFICEHOLDER,service-dilma_rousseff-1-21,titular,,LEG-645dc7ca47f1
dilma_2-comunicacao-social,dilma_2,2015-03-25,2015-03-31,OFFICEHOLDER,service-C029-messias-secom,vacancy_acting,,C029
dilma_2-comunicacao-social,dilma_2,2015-03-31,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-22,titular,,LEG-89bba1651520
dilma_2-comunicacoes,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-23,titular,,C024;LEG-a0ba08a78c10
dilma_2-comunicacoes,dilma_2,2015-10-05,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-24,titular,,C024;LEG-86c922df0c71
dilma_2-cultura,dilma_2,2015-01-01,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-28,titular,,LEG-e0ac31b0f981
dilma_2-defesa,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-29,titular,,C024;LEG-d44eb314acd9
dilma_2-defesa,dilma_2,2015-10-05,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-30,titular,,C024;LEG-bada6905fc7f
dilma_2-desenvolvimento-agrario,dilma_2,2015-01-01,2016-04-14,OFFICEHOLDER,service-dilma_rousseff-1-31,titular,,LEG-9fb226a0f1d8
dilma_2-desenvolvimento-agrario,dilma_2,2016-04-14,2016-04-19,OFFICEHOLDER,service-dilma_rousseff-1-32,titular,,LEG-4e35512833d0
dilma_2-desenvolvimento-agrario,dilma_2,2016-04-19,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-33,titular,,LEG-42ef15a41df1
dilma_2-desenvolvimento-social,dilma_2,2015-01-01,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-35,titular,,LEG-af4dca441a45
dilma_2-direitos-humanos,dilma_2,2015-01-01,2015-04-16,OFFICEHOLDER,service-dilma_rousseff-1-36,titular,,LEG-d13b06a2d6ea
