event_date,effective_start,effective_end,event_type,successor_party,predecessor_party,notes,source_url
2022-02-08,2022-02-08,,fusion,UNIÃO,DEM,DEM + PSL fusion into União Brasil,https://www.tse.jus.br/comunicacao/noticias/2022/Fevereiro/tse-aprova-registro-do-partido-uniao-brasil
2022-02-08,2022-02-08,,fusion,UNIÃO,PSL,DEM + PSL fusion into União Brasil,https://www.tse.jus.br/comunicacao/noticias/2022/Fevereiro/tse-aprova-registro-do-partido-uniao-brasil
