source,election_year,context,raw_party,normalized_party,canonical_party,final_party,mapping_source,local_label_override_applied,dropped_before_join
ideology,2022,2025,AVANTE,AVANTE,AVANTE,AVANTE,shared_alias,false,false
ideology,2022,2025,MDB,MDB,MDB,MDB,shared_alias,false,false
ideology,2022,2025,PMN,PMN,PMN,PMN,shared_alias,false,false
ideology,2022,2025,PSDB,PSDB,PSDB,PSDB,shared_alias,false,false
ideology,2022,2025,PSD,PSD,PSD,PSD,shared_alias,false,false
ideology,2022,2025,PMB,PMB,PMB,PMB,shared_alias,false,false
ideology,2022,2025,PODE,PODE,PODE,PODE,shared_alias,false,false
ideology,2022,2025,PROS,PROS,PROS,PROS,shared_alias,false,false
ideology,2022,2025,PRTB,PRTB,PRTB,PRTB,shared_alias,false,false
ideology,2022,2025,AGIR,AGIR,AGIR,AGIR,shared_alias,false,false
ideology,2022,2025,PTB,PTB,PTB,PTB,shared_alias,false,false
ideology,2022,2025,PROGRE,PROGRE,PP,PP,shared_alias,false,false
ideology,2022,2025,DC,DC,DC,DC,shared_alias,false,false
ideology,2022,2025,REP,REP,REPUBLICANOS,REPUBLICANOS,shared_alias,false,false
ideology,2022,2025,PSC,PSC,PSC,PSC,shared_alias,false,false
ideology,2022,2025,UNIAO,UNIAO,UNIÃO,UNIÃO,shared_alias,false,false
ideology,2022,2025,PATRI,PATRI,PATRIOTA,PATRIOTA,shared_alias,false,false
ideology,2022,2025,NOVO,NOVO,NOVO,NOVO,shared_alias,false,false
ideology,2022,2025,PL,PL,PL,PL,shared_alias,false,false
