source,election_year,context,raw_party,normalized_party,canonical_party,mapping_source
votes,2022,party_mun_zone.csv,PCO,PCO,PCO,shared_alias
votes,2022,party_mun_zone.csv,PDT,PDT,PDT,shared_alias
votes,2022,party_mun_zone.csv,PL,PL,PL,shared_alias
votes,2022,party_mun_zone.csv,PMB,PMB,PMB,shared_alias
votes,2022,party_mun_zone.csv,PMN,PMN,PMN,shared_alias
votes,2022,party_mun_zone.csv,PODE,PODE,PODE,shared_alias
votes,2022,party_mun_zone.csv,PP,PP,PP,shared_alias
votes,2022,party_mun_zone.csv,PROS,PROS,PROS,shared_alias
votes,2022,party_mun_zone.csv,PRTB,PRTB,PRTB,shared_alias
votes,2022,party_mun_zone.csv,PSB,PSB,PSB,shared_alias
votes,2022,party_mun_zone.csv,PSC,PSC,PSC,shared_alias
votes,2022,party_mun_zone.csv,PSD,PSD,PSD,shared_alias
votes,2022,party_mun_zone.csv,PSDB,PSDB,PSDB,shared_alias
votes,2022,party_mun_zone.csv,PSOL,PSOL,PSOL,shared_alias
votes,2022,party_mun_zone.csv,PSTU,PSTU,PSTU,shared_alias
votes,2022,party_mun_zone.csv,PT,PT,PT,shared_alias
votes,2022,party_mun_zone.csv,PTB,PTB,PTB,shared_alias
votes,2022,party_mun_zone.csv,PV,PV,PV,shared_alias
votes,2022,party_mun_zone.csv,REDE,REDE,REDE,shared_alias
votes,2022,party_mun_zone.csv,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,shared_alias
votes,2022,party_mun_zone.csv,SOLIDARIEDADE,SOLIDARIEDADE,SOLIDARIEDADE,shared_alias
votes,2022,party_mun_zone.csv,UNIÃO,UNIAO,UNIÃO,shared_alias
votes,2022,party_mun_zone.csv,UP,UP,UP,shared_alias
