election_year,period,coalition_year,cabinet_party_raw,cabinet_party_normalized,cabinet_party_canonical,mapping_type,mapped_party_count,election_party,notes
2018,2020.1,2020,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2020.1,2020,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2020.1,2020,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2020.1,2020,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2020.1,2020,PSL,PSL,PSL,label_passthrough,1,PSL,
2018,2020.2,2020,DEM,DEM,DEM,label_passthrough,1,DEM,
2018,2020.2,2020,NOVO,NOVO,NOVO,label_passthrough,1,NOVO,
2018,2020.2,2020,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2020.2,2020,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2020.2,2020,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2020.2,2020,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2020.2,2020,PSL,PSL,PSL,label_passthrough,1,PSL,
2018,2020.3,2020,DEM,DEM,DEM,label_passthrough,1,DEM,
2018,2020.3,2020,NOVO,NOVO,NOVO,label_passthrough,1,NOVO,
2018,2020.3,2020,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2020.3,2020,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2020.3,2020,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2020.3,2020,PSD,PSD,PSD,label_passthrough,1,PSD,
2018,2020.3,2020,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2020.3,2020,PSL,PSL,PSL,label_passthrough,1,PSL,
2018,2020.4,2020,DEM,DEM,DEM,label_passthrough,1,DEM,
2018,2020.4,2020,NOVO,NOVO,NOVO,label_passthrough,1,NOVO,
2018,2020.4,2020,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2020.4,2020,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2020.4,2020,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2020.4,2020,PSD,PSD,PSD,label_passthrough,1,PSD,
2018,2020.4,2020,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2021.1,2021,DEM,DEM,DEM,label_passthrough,1,DEM,
2018,2021.1,2021,NOVO,NOVO,NOVO,label_passthrough,1,NOVO,
2018,2021.1,2021,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2021.1,2021,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2021.1,2021,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2021.1,2021,PSD,PSD,PSD,label_passthrough,1,PSD,
2018,2021.1,2021,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2021.1,2021,PSL,PSL,PSL,label_passthrough,1,PSL,
2018,2021.2,2021,DEM,DEM,DEM,label_passthrough,1,DEM,
2018,2021.2,2021,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2021.2,2021,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2021.2,2021,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2021.2,2021,PSD,PSD,PSD,label_passthrough,1,PSD,
2018,2021.2,2021,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2021.2,2021,PSL,PSL,PSL,label_passthrough,1,PSL,
2018,2021.3,2021,DEM,DEM,DEM,label_passthrough,1,DEM,
2018,2021.3,2021,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2021.3,2021,PP,PP,PP,label_passthrough,1,PP,
2018,2021.3,2021,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2021.3,2021,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2021.3,2021,PSD,PSD,PSD,label_passthrough,1,PSD,
2018,2021.3,2021,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2021.3,2021,PSL,PSL,PSL,label_passthrough,1,PSL,
2018,2022.1,2022,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2022.1,2022,PP,PP,PP,label_passthrough,1,PP,
2018,2022.1,2022,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2022.1,2022,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2022.1,2022,PSD,PSD,PSD,label_passthrough,1,PSD,
2018,2022.1,2022,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2022.1,2022,UNIÃO,UNIAO,UNIÃO,crosswalk_fusion_expansion,2,DEM,União Brasil maps to 2018 antecedent DEM. | União Brasil maps to 2018 antecedent PSL.
2018,2022.1,2022,UNIÃO,UNIAO,UNIÃO,crosswalk_fusion_expansion,2,PSL,União Brasil maps to 2018 antecedent DEM. | União Brasil maps to 2018 antecedent PSL.
2018,2022.2,2022,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2022.2,2022,PP,PP,PP,label_passthrough,1,PP,
2018,2022.2,2022,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2022.2,2022,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2022.2,2022,PSD,PSD,PSD,label_passthrough,1,PSD,
2018,2022.2,2022,UNIÃO,UNIAO,UNIÃO,crosswalk_fusion_expansion,2,DEM,União Brasil maps to 2018 antecedent DEM. | União Brasil maps to 2018 antecedent PSL.
2018,2022.2,2022,UNIÃO,UNIAO,UNIÃO,crosswalk_fusion_expansion,2,PSL,União Brasil maps to 2018 antecedent DEM. | União Brasil maps to 2018 antecedent PSL.
2018,2022.3,2022,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2022.3,2022,PP,PP,PP,label_passthrough,1,PP,
2018,2022.3,2022,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
2018,2022.3,2022,PSD,PSD,PSD,label_passthrough,1,PSD,
2018,2022.3,2022,UNIÃO,UNIAO,UNIÃO,crosswalk_fusion_expansion,2,DEM,União Brasil maps to 2018 antecedent DEM. | União Brasil maps to 2018 antecedent PSL.
2018,2022.3,2022,UNIÃO,UNIAO,UNIÃO,crosswalk_fusion_expansion,2,PSL,União Brasil maps to 2018 antecedent DEM. | União Brasil maps to 2018 antecedent PSL.
2022,2023.1,2023,MDB,MDB,MDB,label_passthrough,1,MDB,
2022,2023.1,2023,PCdoB,PCDOB,PCdoB,label_passthrough,1,PCdoB,
2022,2023.1,2023,PDT,PDT,PDT,label_passthrough,1,PDT,
2022,2023.1,2023,PSB,PSB,PSB,label_passthrough,1,PSB,
2022,2023.1,2023,PSD,PSD,PSD,label_passthrough,1,PSD,
2022,2023.1,2023,PSOL,PSOL,PSOL,label_passthrough,1,PSOL,
2022,2023.1,2023,PT,PT,PT,label_passthrough,1,PT,
2022,2023.1,2023,REDE,REDE,REDE,label_passthrough,1,REDE,
2022,2023.1,2023,UNIÃO,UNIAO,UNIÃO,crosswalk_passthrough,1,UNIÃO,União Brasil exists in 2022 election space.
2022,2023.2,2023,MDB,MDB,MDB,label_passthrough,1,MDB,
2022,2023.2,2023,PCdoB,PCDOB,PCdoB,label_passthrough,1,PCdoB,
2022,2023.2,2023,PDT,PDT,PDT,label_passthrough,1,PDT,
2022,2023.2,2023,PP,PP,PP,label_passthrough,1,PP,
2022,2023.2,2023,PSB,PSB,PSB,label_passthrough,1,PSB,
2022,2023.2,2023,PSD,PSD,PSD,label_passthrough,1,PSD,
2022,2023.2,2023,PSOL,PSOL,PSOL,label_passthrough,1,PSOL,
2022,2023.2,2023,PT,PT,PT,label_passthrough,1,PT,
2022,2023.2,2023,REDE,REDE,REDE,label_passthrough,1,REDE,
2022,2023.2,2023,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,label_passthrough,1,REPUBLICANOS,
2022,2023.2,2023,UNIÃO,UNIAO,UNIÃO,crosswalk_passthrough,1,UNIÃO,União Brasil exists in 2022 election space.
2022,2025.1,2025,MDB,MDB,MDB,label_passthrough,1,MDB,
2022,2025.1,2025,PCdoB,PCDOB,PCdoB,label_passthrough,1,PCdoB,
2022,2025.1,2025,PDT,PDT,PDT,label_passthrough,1,PDT,
2022,2025.1,2025,PP,PP,PP,label_passthrough,1,PP,
2022,2025.1,2025,PSB,PSB,PSB,label_passthrough,1,PSB,
2022,2025.1,2025,PSD,PSD,PSD,label_passthrough,1,PSD,
2022,2025.1,2025,PSOL,PSOL,PSOL,label_passthrough,1,PSOL,
2022,2025.1,2025,PT,PT,PT,label_passthrough,1,PT,
2022,2025.1,2025,REDE,REDE,REDE,label_passthrough,1,REDE,
2022,2025.1,2025,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,label_passthrough,1,REPUBLICANOS,
