period,start_date,end_date,minister,office,raw_party,canonical_party_at_date,source_url_or_page,notes
2018.1,2018-04-07,2018-05-27,Blairo Maggi,"Agricultura, Pecuária e Abastecimento",PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.1,2018-04-07,2018-05-27,Eliseu Padilha,Casa Civil,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.1,2018-04-07,2018-05-27,Gilberto Kassab,"Ciência, Tecnologia, Inovações e Comunicações",PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.1,2018-04-07,2018-05-27,Grace Mendonça,Advocacia-Geral da União,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.1,2018-04-07,2018-05-27,Aloysio Nunes,Relações Exteriores,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.1,2018-04-07,2018-05-27,Alexandre Baldy,Cidades,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.1,2018-04-07,2018-05-27,Raul Jungmann,Segurança Pública,PPS,PPS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.1,2018-04-07,2018-05-27,Gilberto Occhi,Saúde,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.1,2018-04-07,2018-05-27,Moreira Franco,Minas e Energia,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Blairo Maggi,"Agricultura, Pecuária e Abastecimento",PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Eliseu Padilha,Casa Civil,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Gilberto Kassab,"Ciência, Tecnologia, Inovações e Comunicações",PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Grace Mendonça,Advocacia-Geral da União,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Aloysio Nunes,Relações Exteriores,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Alexandre Baldy,Cidades,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Raul Jungmann,Segurança Pública,PPS,PPS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Gilberto Occhi,Saúde,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Moreira Franco,Minas e Energia,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2018.2,2018-05-28,2018-12-31,Ronaldo Fonseca,Secretaria-Geral,PODE,PODE,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2019.1,2019-01-01,2020-02-10,Onyx Lorenzoni,Casa Civil,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2019.1,2019-01-01,2020-02-10,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2019.1,2019-01-01,2020-02-10,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2019.1,2019-01-01,2020-02-10,Osmar Terra,Ministério da Cidadania,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2019.1,2019-01-01,2020-02-10,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2019.1,2019-01-01,2020-02-10,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2019.1,2019-01-01,2020-02-10,Luiz Henrique Mandetta,Ministério da Saúde,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2019.1,2019-01-01,2020-02-10,Ricardo Salles,Ministério do Meio Ambiente,NOVO,NOVO,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2019.1,2019-01-01,2020-02-10,Marcelo Álvaro Antônio,Ministério do Turismo,PSL,PSL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2019.1,2019-01-01,2020-02-10,Gustavo Bebianno,Secretaria-Geral da Presidência da República,PSL,PSL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Onyx Lorenzoni,Casa Civil,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2020.1,2020-02-11,2020-02-14,Osmar Terra,Ministério da Cidadania,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Luiz Henrique Mandetta,Ministério da Saúde,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Ricardo Salles,Ministério do Meio Ambiente,NOVO,NOVO,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Marcelo Álvaro Antônio,Ministério do Turismo,PSL,PSL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.1,2020-02-11,2020-02-14,Rogério Marinho,Ministério do Desenvolvimento Regional,PSDB / PL,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSDB from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSDB"
2020.2,2020-02-15,2020-06-16,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.2,2020-02-15,2020-06-16,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2020.2,2020-02-15,2020-06-16,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.2,2020-02-15,2020-06-16,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.2,2020-02-15,2020-06-16,Luiz Henrique Mandetta,Ministério da Saúde,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.2,2020-02-15,2020-06-16,Ricardo Salles,Ministério do Meio Ambiente,NOVO,NOVO,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.2,2020-02-15,2020-06-16,Marcelo Álvaro Antônio,Ministério do Turismo,PSL,PSL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.2,2020-02-15,2020-06-16,Rogério Marinho,Ministério do Desenvolvimento Regional,PSDB / PL,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSDB from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSDB"
2020.3,2020-06-17,2020-12-09,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.3,2020-06-17,2020-12-09,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2020.3,2020-06-17,2020-12-09,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.3,2020-06-17,2020-12-09,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.3,2020-06-17,2020-12-09,Ricardo Salles,Ministério do Meio Ambiente,NOVO,NOVO,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.3,2020-06-17,2020-12-09,Marcelo Álvaro Antônio,Ministério do Turismo,PSL,PSL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.3,2020-06-17,2020-12-09,Rogério Marinho,Ministério do Desenvolvimento Regional,PSDB / PL,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSDB from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSDB"
2020.3,2020-06-17,2020-12-09,Onyx Lorenzoni,Ministério da Cidadania,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.3,2020-06-17,2020-12-09,Fábio Faria,Ministério das Comunicações,PSD / PP,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSD from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSD"
2020.4,2020-12-10,2021-03-28,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.4,2020-12-10,2021-03-28,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2020.4,2020-12-10,2021-03-28,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.4,2020-12-10,2021-03-28,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.4,2020-12-10,2021-03-28,Ricardo Salles,Ministério do Meio Ambiente,NOVO,NOVO,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.4,2020-12-10,2021-03-28,Rogério Marinho,Ministério do Desenvolvimento Regional,PSDB / PL,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSDB from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSDB"
2020.4,2020-12-10,2021-03-28,Onyx Lorenzoni,Ministério da Cidadania,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2020.4,2020-12-10,2021-03-28,Fábio Faria,Ministério das Comunicações,PSD / PP,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSD from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSD"
2021.1,2021-03-29,2021-06-23,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.1,2021-03-29,2021-06-23,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2021.1,2021-03-29,2021-06-23,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.1,2021-03-29,2021-06-23,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.1,2021-03-29,2021-06-23,Ricardo Salles,Ministério do Meio Ambiente,NOVO,NOVO,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.1,2021-03-29,2021-06-23,Rogério Marinho,Ministério do Desenvolvimento Regional,PSDB / PL,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSDB from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSDB"
2021.1,2021-03-29,2021-06-23,Fábio Faria,Ministério das Comunicações,PSD / PP,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSD from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSD"
2021.1,2021-03-29,2021-06-23,João Roma,Ministério da Cidadania,REP / PL,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to Republicanos from processing/Processing/data/raw/electionsBR/2018/candidate.csv, where João Inácio Ribeiro Roma Neto appears under PRB, the pre-2019 party code that canonicalizes to Republicanos. | periodization_party=Republicanos"
2021.1,2021-03-29,2021-06-23,Onyx Lorenzoni,Secretaria-Geral da Presidência da República,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.1,2021-03-29,2021-06-23,Flávia Arruda,Secretaria de Governo,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.1,2021-03-29,2021-06-23,Walter Braga Netto,Ministério da Defesa,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.1,2021-03-29,2021-06-23,Anderson Torres,Ministério da Justiça e Segurança Pública,PSL / UNIÃO,PSL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSL because the alternative token UNIÃO is only valid from 2022 onward in processing/Processing/data/party_aliases.csv, so it cannot be the 2021-03-29 start-date party. | periodization_party=PSL"
2021.2,2021-06-24,2021-08-03,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.2,2021-06-24,2021-08-03,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2021.2,2021-06-24,2021-08-03,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.2,2021-06-24,2021-08-03,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.2,2021-06-24,2021-08-03,Rogério Marinho,Ministério do Desenvolvimento Regional,PSDB / PL,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSDB from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSDB"
2021.2,2021-06-24,2021-08-03,Fábio Faria,Ministério das Comunicações,PSD / PP,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSD from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSD"
2021.2,2021-06-24,2021-08-03,João Roma,Ministério da Cidadania,REP / PL,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to Republicanos from processing/Processing/data/raw/electionsBR/2018/candidate.csv, where João Inácio Ribeiro Roma Neto appears under PRB, the pre-2019 party code that canonicalizes to Republicanos. | periodization_party=Republicanos"
2021.2,2021-06-24,2021-08-03,Onyx Lorenzoni,Secretaria-Geral da Presidência da República,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.2,2021-06-24,2021-08-03,Flávia Arruda,Secretaria de Governo,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.2,2021-06-24,2021-08-03,Walter Braga Netto,Ministério da Defesa,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.2,2021-06-24,2021-08-03,Anderson Torres,Ministério da Justiça e Segurança Pública,PSL / UNIÃO,PSL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSL because the alternative token UNIÃO is only valid from 2022 onward in processing/Processing/data/party_aliases.csv, so it cannot be the 2021-03-29 start-date party. | periodization_party=PSL"
2021.3,2021-08-04,2022-02-07,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.3,2021-08-04,2022-02-07,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2021.3,2021-08-04,2022-02-07,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.3,2021-08-04,2022-02-07,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.3,2021-08-04,2022-02-07,Rogério Marinho,Ministério do Desenvolvimento Regional,PSDB / PL,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSDB from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSDB"
2021.3,2021-08-04,2022-02-07,Fábio Faria,Ministério das Comunicações,PSD / PP,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSD from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSD"
2021.3,2021-08-04,2022-02-07,João Roma,Ministério da Cidadania,REP / PL,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to Republicanos from processing/Processing/data/raw/electionsBR/2018/candidate.csv, where João Inácio Ribeiro Roma Neto appears under PRB, the pre-2019 party code that canonicalizes to Republicanos. | periodization_party=Republicanos"
2021.3,2021-08-04,2022-02-07,Flávia Arruda,Secretaria de Governo,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.3,2021-08-04,2022-02-07,Walter Braga Netto,Ministério da Defesa,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2021.3,2021-08-04,2022-02-07,Anderson Torres,Ministério da Justiça e Segurança Pública,PSL / UNIÃO,PSL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSL because the alternative token UNIÃO is only valid from 2022 onward in processing/Processing/data/party_aliases.csv, so it cannot be the 2021-03-29 start-date party. | periodization_party=PSL"
2021.3,2021-08-04,2022-02-07,Ciro Nogueira,Casa Civil,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2022.1,2022-02-08,2022-03-31,Augusto Heleno,Gabinete de Segurança Institucional,Patriota,PATRIOTA,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2022.1,2022-02-08,2022-03-31,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",DEM / UNIÃO / PP,UNIÃO,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to DEM from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=DEM"
2022.1,2022-02-08,2022-03-31,Marcos Pontes,"Ministério da Ciência, Tecnologia e Inovações",PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2022.1,2022-02-08,2022-03-31,Tarcísio de Freitas,Ministério da Infraestrutura,Republicanos,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
2022.1,2022-02-08,2022-03-31,Rogério Marinho,Ministério do Desenvolvimento Regional,PSDB / PL,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSDB from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSDB"
2022.1,2022-02-08,2022-03-31,Fábio Faria,Ministério das Comunicações,PSD / PP,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to PSD from processing/Processing/data/raw/electionsBR/2018/candidate.csv, the latest pre-posse election record in the repo. | periodization_party=PSD"
2022.1,2022-02-08,2022-03-31,João Roma,Ministério da Cidadania,REP / PL,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,"Resolved to Republicanos from processing/Processing/data/raw/electionsBR/2018/candidate.csv, where João Inácio Ribeiro Roma Neto appears under PRB, the pre-2019 party code that canonicalizes to Republicanos. | periodization_party=Republicanos"
2022.1,2022-02-08,2022-03-31,Flávia Arruda,Secretaria de Governo,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Jair_Bolsonaro#Gabinete_de_ministros,
