election_year,party,votes,vote_share,vote_share_percent,seats,seat_share,representation_ratio,quota,seat_diff
2014,PMDB,10791949,0.11085110943153675,11.085110943153676,65,0.1267056530214425,1.1430255743150477,56.866619138378354,8.133380861621646
2014,PSD,5967953,0.061300716959028265,6.130071695902826,36,0.07017543859649122,1.1447735373697927,31.4472677999815,4.5527322000185
2014,PTB,3914193,0.040205215626867324,4.020521562686732,25,0.04873294346978557,1.212105014485224,20.625275616582936,4.374724383417064
2014,PR,5635519,0.05788607167922167,5.788607167922167,34,0.06627680311890838,1.1449525109629883,29.695554771440715,4.304445228559285
2014,PP,6429791,0.06604455467338756,6.604455467338756,38,0.07407407407407407,1.1215773115648242,33.88085654744782,4.11914345255218
2014,PDT,3528346,0.03624193077249763,3.6241930772497626,20,0.03898635477582846,1.075725104729063,18.592110486291283,1.4078895137087173
2014,PSB,6267878,0.06438144120969454,6.438144120969453,34,0.06627680311890838,1.0294395694411458,33.0276793405733,0.9723206594266998
2014,SOLIDARIEDADE,2689701,0.02762766390844822,2.762766390844822,15,0.029239766081871343,1.0583510129110179,14.172991585033937,0.8270084149660626
2014,PROS,1977117,0.020308251357187813,2.030825135718781,11,0.021442495126705652,1.0558513753630683,10.418132946237348,0.581867053762652
2014,PMN,468473,0.004811990103800557,0.4811990103800557,3,0.005847953216374269,1.2152878726320526,2.4685509232496856,0.5314490767503144
2014,PTC,338117,0.0034730190596400073,0.34730190596400073,2,0.003898635477582846,1.1225494046056157,1.7816587775953237,0.21834122240467635
2014,PTN,723182,0.007428271484688967,0.7428271484688967,4,0.007797270955165692,1.049675011372067,3.81070327164544,0.1892967283545599
2014,PHS,943068,0.009686863241234786,0.9686863241234787,5,0.009746588693957114,1.0061656132883234,4.969360842753445,0.030639157246555193
2014,PCO,12969,0.00013321301260945547,0.013321301260945547,0,0.0,0.0,0.06833827546865066,-0.06833827546865066
2014,PCdoB,1913015,0.01964981812916011,1.9649818129160108,10,0.01949317738791423,0.9920283872239292,10.080356700259136,-0.0803567002591361
2014,PSC,2520421,0.025888879208430592,2.5888879208430593,13,0.025341130604288498,0.9788423206840209,13.280995033924894,-0.2809950339248939
2014,PPS,1955689,0.020088150467821215,2.0088150467821215,10,0.01949317738791423,0.9703818885237812,10.305221189992283,-0.30522118999228276
2014,PCB,66979,0.000687984761474957,0.0687984761474957,0,0.0,0.0,0.35293618263665294,-0.35293618263665294
2014,DEM,4085487,0.0419646874274629,4.19646874274629,21,0.04093567251461988,0.9754790282991694,21.527884650288467,-0.5278846502884669
2014,PSDC,509936,0.00523788347582815,0.523788347582815,2,0.003898635477582846,0.7443150454900949,2.687034223099841,-0.687034223099841
2014,PPL,141254,0.0014509114722134338,0.14509114722134336,0,0.0,0.0,0.7443175852454915,-0.7443175852454915
2014,PRP,724825,0.007445147803581506,0.7445147803581507,3,0.005847953216374269,0.7854717422213024,3.8193608232373126,-0.8193608232373126
2014,PSTU,188473,0.0019359284544330248,0.1935928454433025,0,0.0,0.0,0.9931312971241417,-0.9931312971241417
2014,PRTB,454190,0.00466528014473657,0.466528014473657,1,0.001949317738791423,0.4178350877793842,2.3932887142498602,-1.3932887142498602
2014,PEN,667983,0.006861286745462401,0.6861286745462402,2,0.003898635477582846,0.5682076295909283,3.5198401004222117,-1.5198401004222117
2014,PRB,4424824,0.04545023789857515,4.545023789857515,21,0.04093567251461988,0.9006701484372913,23.31597204196905,-2.315972041969051
2014,PT,13554166,0.13922363222057618,13.922363222057617,69,0.13450292397660818,0.9660926225765404,71.42172332915558,-2.421723329155583
2014,PV,2004464,0.02058915013549229,2.058915013549229,8,0.015594541910331383,0.7574155226275693,10.562234019507546,-2.562234019507546
2014,PSL,808710,0.008306785058785775,0.8306785058785775,1,0.001949317738791423,0.23466572506648678,4.261380735157103,-3.261380735157103
2014,PT DO B,812497,0.008345683792593471,0.8345683792593471,1,0.001949317738791423,0.2335719621346522,4.281335785600451,-3.281335785600451
2014,PSOL,1745470,0.01792885473971981,1.792885473971981,5,0.009746588693957114,0.5436258386523931,9.197502481476263,-4.197502481476263
2014,PSDB,11088715,0.11389938554380892,11.389938554380892,54,0.10526315789473684,0.9241766967588219,58.43038478397398,-4.430384783973977
2018,PP,5408578,0.05504119048862052,5.504119048862052,37,0.07212475633528265,1.3103778405773048,28.236130720662327,8.763869279337673
2018,PR,5224591,0.053168819689044404,5.316881968904441,33,0.06432748538011696,1.2098723604611412,27.27560450047978,5.72439549952022
2018,MDB,5439904,0.05535998414071291,5.53599841407129,34,0.06627680311890838,1.1971969310982336,28.39967186418572,5.60032813581428
2018,DEM,4581164,0.046620890071958056,4.662089007195806,29,0.056530214424951264,1.2125511618868374,23.91651660691448,5.083483393085519
2018,PSD,5749010,0.058505646868915316,5.8505646868915315,35,0.0682261208576998,1.1661459108479506,30.013396843753558,4.986603156246442
2018,PDT,4561885,0.046424694489416746,4.642469448941674,28,0.05458089668615984,1.1756867177360195,23.81586827307079,4.184131726929209
2018,PSB,5421998,0.0551777610948607,5.5177761094860704,32,0.06237816764132553,1.130494721126615,28.30619144166354,3.6938085583364604
