"case_id","source_case_id","case_domain","ideological_universe","k","gap_count","case_order","election_year","case_label","cabinet_period","source_periods","period_start","period_end","period_days","ideology_start_index","ideology_end_index","start_party","end_party","coalition_parties","coalition_party_count","minimal_inversion","minimal_status","observed_coalition","synthetic_ideological_interval","composition_equivalence_group","composition_equivalence_count","compositionally_repeated","electoral_unit","v_Cd","V_d","district_coalition_vote_share","s_Cd","S_d","district_coalition_seat_share","within_district_quota","national_quota_contribution","a_Cd","b_Cd","b_Cd_factored","b_crosscheck_residual","d_Cd","a_Cd_exact","b_Cd_exact","d_Cd_exact"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"MG",4477684,10118666,0.44251722509666785,26,53,0.49056603773584906,23.4534129301234,23.594510189958324,2.5465870698766024,-0.14109725983492757,-0.14109725983492757,0.0,2.405489810041675,"12884032//5059333","-1828892119064//12961925137339","6162824//2561983"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"MS",825708,1276893,0.6466540266099039,5,8,0.625,5.173232212879231,4.350949245174538,-0.17323221287923107,0.8222829677046924,0.8222829677046924,0.0,0.6490507548254614,"-73733//425631","896666180306//1090459386273","1662857//2561983"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"MT",604679,1454612,0.4156977943259096,2,8,0.25,3.3255823546072767,3.186268800378457,-1.3255823546072767,0.13931355422881989,0.13931355422881989,0.0,-1.186268800378457,"-482052//363653","259589299379//1863345607798","-6078401//5123966"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"PA",1908838,3756049,0.5082037002179685,10,17,0.5882352941176471,8.639462903705462,10.058346601050827,1.3605370962945371,-1.4188836973453638,-1.4188836973453638,0.0,-0.058346601050826646,"5110244//3756049","-13653823726519//9622933685167","-149483//2561983"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"PB",977061,1936819,0.5044668603519482,8,12,0.6666666666666666,6.0536023242233785,5.148482054720894,1.9463976757766213,0.9051202695024847,0.9051202695024847,0.0,2.851517945279106,"3769820//1936819","8982589785219//9924194704154","14611081//5123966"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"PE",1739512,4483227,0.3880044441202732,10,25,0.4,9.70011110300683,9.166107659574633,0.29988889699317034,0.5340034434321955,0.5340034434321955,0.0,0.8338923404253659,"1344470//4483227","6133537576876//11485951359141","2136418//2561983"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"PI",1143169,1733434,0.6594822762216502,6,10,0.6,6.594822762216502,6.023764209208258,-0.594822762216502,0.5710585530082443,0.5710585530082443,0.0,-0.023764209208257822,"-515543//866717","2536087274599//4441028439622","-121767//5123966"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"PR",2410723,5665222,0.42553019104988293,13,30,0.43333333333333335,12.765905731496488,12.70295724054375,0.23409426850351142,0.0629484909527379,0.0629484909527379,0.0,0.2970427594562493,"663098//2832611","913647141939//14514202455226","1522037//5123966"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"RJ",4050400,7673438,0.527846839969255,29,46,0.6304347826086957,24.28095463858573,21.342998763067513,4.719045361414271,2.9379558755182145,2.9379558755182145,0.0,7.657001236932485,"18105651//3836719","28878957086000//9829608853777","19617107//2561983"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"RN",768858,1580871,0.48635087872445,3,8,0.375,3.8908070297956,4.051386367512977,-0.8908070297956,-0.16057933771737723,-0.16057933771737723,0.0,-1.0513863675129773,"-469417//526957","-216790917827//1350054875731","-2693634//2561983"
