"election_year","electoral_unit","V_d","S_d","V","S","district_vote_weight","district_seat_weight","district_weight_gap","seat_equivalent_weight_gap","valid_votes_per_seat","sum_a_id","sum_b_id","expected_sum_b_id","b_closure_residual","seat_equivalent_weight_gap_exact"
2014,"AC",399201,8,97355354,513,0.00410045245174703,0.015594541910331383,0.011494089458584354,5.896467892253773,49900.125,0.0,5.896467892253773,5.896467892253773,0.0,"30213301//5123966"
2014,"AL",1384584,9,97355354,513,0.014221960509742485,0.017543859649122806,0.003321899139380321,1.7041342585021055,153842.66666666666,0.0,1.7041342585021055,1.7041342585021055,0.0,"4365963//2561983"
2014,"AM",1658407,8,97355354,513,0.01703457418479522,0.015594541910331383,-0.0014400322744638379,-0.7387365567999475,207300.875,0.0,-0.7387365567999475,-0.7387365567999475,0.0,"-3785261//5123966"
2014,"AP",386084,8,97355354,513,0.0039657192351229085,0.015594541910331383,0.011628822675208475,5.965586032381948,48260.5,0.0,5.965586032381948,5.965586032381948,0.0,"15283730//2561983"
2014,"BA",6646541,39,97355354,513,0.06827093453946045,0.07602339181286549,0.007752457273405039,3.9770105812567844,170424.12820512822,0.0,3.9770105812567844,3.9770105812567844,0.0,"20378067//5123966"
2014,"CE",4367020,22,97355354,513,0.04485649551436072,0.042884990253411304,-0.0019715052609494133,-1.0113821988670495,198500.9090909091,0.0,-1.0113821988670495,-1.0113821988670495,0.0,"-2591144//2561983"
2014,"DF",1454063,8,97355354,513,0.014935624393086794,0.015594541910331383,0.0006589175172445894,0.3380246863464746,181757.875,0.0,0.3380246863464746,0.3380246863464746,0.0,"1732027//5123966"
2014,"ES",1794470,10,97355354,513,0.018432165528359128,0.01949317738791423,0.0010610118595551013,0.5442990839517671,179447.0,0.0,0.5442990839517671,0.5442990839517671,0.0,"1394485//2561983"
2014,"GO",3032760,17,97355354,513,0.031151445456199564,0.03313840155945419,0.001986956103254625,1.019308480969624,178397.64705882352,0.0,1.019308480969624,1.019308480969624,0.0,"2611451//2561983"
2014,"MA",3130492,18,97355354,513,0.0321553142316138,0.03508771929824561,0.0029324050666318102,1.504323799182118,173916.22222222222,0.0,1.504323799182118,1.504323799182118,0.0,"3854052//2561983"
2014,"MG",10118666,53,97355354,513,0.10393538294771133,0.10331384015594541,-0.0006215427917659194,-0.31885145217591215,190918.22641509434,0.0,-0.31885145217591215,-0.31885145217591215,0.0,"-816892//2561983"
2014,"MS",1276893,8,97355354,513,0.013115796384449489,0.015594541910331383,0.0024787455258818945,1.2715964547774126,159611.625,0.0,1.2715964547774126,1.2715964547774126,0.0,"6515617//5123966"
2014,"MT",1454612,8,97355354,513,0.014941263528249303,0.015594541910331383,0.0006532783820820797,0.335131810008107,181826.5,0.0,0.335131810008107,0.335131810008107,0.0,"858602//2561983"
2014,"PA",3756049,17,97355354,513,0.038580816007304536,0.03313840155945419,-0.005442414447850347,-2.7919586117472286,220944.0588235294,0.0,-2.7919586117472286,-2.7919586117472286,0.0,"-14305901//5123966"
2014,"PB",1936819,12,97355354,513,0.019894324455951337,0.023391812865497075,0.0034974884095457376,1.7942115540969632,161401.58333333334,0.0,1.7942115540969632,1.7942115540969632,0.0,"9193479//5123966"
2014,"PE",4483227,25,97355354,513,0.04605013300038948,0.04873294346978557,0.002682810469396092,1.3762817708001966,179329.08,0.0,1.3762817708001966,1.3762817708001966,0.0,"7052021//5123966"
2014,"PI",1733434,10,97355354,513,0.017805225175391997,0.01949317738791423,0.001687952212522232,0.8659194850239053,173343.4,0.0,0.8659194850239053,0.8659194850239053,0.0,"2218471//2561983"
2014,"PR",5665222,30,97355354,513,0.058191170461975826,0.05847953216374269,0.00028836170176686077,0.14792955300640168,188840.73333333334,0.0,0.14792955300640168,0.14792955300640168,0.0,"378993//2561983"
2014,"RJ",7673438,46,97355354,513,0.07881885982356965,0.08966861598440545,0.010849756160835805,5.565924910508774,166813.86956521738,0.0,5.565924910508774,5.565924910508774,0.0,"14259805//2561983"
2014,"RN",1580871,8,97355354,513,0.016238151627490358,0.015594541910331383,-0.0006436097171589744,-0.330171784902554,197608.875,0.0,-0.330171784902554,-0.330171784902554,0.0,"-1691789//5123966"
2014,"RO",798475,8,97355354,513,0.008201654733852645,0.015594541910331383,0.007392887176478739,3.7925511215335934,99809.375,0.0,3.7925511215335934,3.7925511215335934,0.0,"19432903//5123966"
