election_year,mandate_start,mandate_end,period_label,period_start,period_end,selected_by_overlap,raw_parties
2022,2023-01-01,2026-03-19,2016.9,2016-10-26,2017-04-25,false,"CIDADANIA, DEM, MDB, PL, PP, PSB, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2017.1,2017-04-26,2017-04-26,false,"CIDADANIA, DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2017.2,2017-04-27,2017-08-01,false,"CIDADANIA, DEM, MDB, PL, PP, PSB, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2017.3,2017-08-02,2017-08-02,false,"CIDADANIA, DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2017.4,2017-08-03,2017-10-17,false,"CIDADANIA, DEM, MDB, PL, PP, PSB, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2017.5,2017-10-18,2018-03-20,false,"CIDADANIA, DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2018.1,2018-03-21,2018-04-01,false,"DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2018.2,2018-04-02,2018-04-05,false,"DEM, MDB, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2018.3,2018-04-06,2018-07-04,false,"MDB, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2018.4,2018-07-05,2018-12-31,false,"MDB, PP, PSD, PSDB, PV, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2019.1,2019-01-01,2020-02-10,false,"DEM, MDB, NOVO, PP, PSL"
2022,2023-01-01,2026-03-19,2020.1,2020-02-11,2020-02-17,false,"DEM, MDB, NOVO, PP, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.2,2020-02-18,2020-04-15,false,"DEM, NOVO, PP, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.3,2020-04-16,2020-04-16,false,"DEM, MDB, NOVO, PP, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.4,2020-04-17,2020-05-06,false,"DEM, NOVO, PP, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.5,2020-05-07,2020-06-16,false,"DEM, PP, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.6,2020-06-17,2020-06-17,false,"DEM, PP, PSD, PSDB, PSL"
2022,2023-01-01,2026-03-19,2020.7,2020-06-18,2020-09-18,false,"DEM, PP, PSD, PSL"
2022,2023-01-01,2026-03-19,2020.8,2020-09-19,2020-12-08,false,"DEM, PSD, PSL"
2022,2023-01-01,2026-03-19,2020.9,2020-12-09,2021-02-11,false,"DEM, PSC, PSD, PSL"
