old_period,new_period,change_date,entered_contemporaneous_parties,left_contemporaneous_parties,change_status,old_composition_status,new_composition_status,raw_minister_events,decision_ids,data_version,release_metadata_sha256
temer-2016-10-26,temer-2017-04-26,2017-04-26,,PSB,identified_set_difference,primary_provisional,primary_adjudicated,service_end:service-69e3154c999f:Fernando Bezerra Coelho Filho:Minas e Energia | service_start:service-C041-paulo-pedrosa-2017-04-26:Paulo Pedrosa:Minas e Energia | affiliation_start:affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26:UNKNOWN:,C035;C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2017-04-26,temer-2017-04-27,2017-04-27,PSB,,identified_set_difference,primary_adjudicated,primary_adjudicated,service_end:service-C041-paulo-pedrosa-2017-04-26:Paulo Pedrosa:Minas e Energia | service_start:service-b3978937568f:Fernando Bezerra Coelho Filho:Minas e Energia | affiliation_end:affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26:UNKNOWN:,C006;C008;C035;C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2017-04-27,temer-2017-08-02,2017-08-02,,PSB,identified_set_difference,primary_adjudicated,primary_provisional,service_end:service-b3978937568f:Fernando Bezerra Coelho Filho:Minas e Energia | service_end:service-f103a0f5f74a:Antônio Imbassahy:Secretaria de Governo | service_start:service-C035-ivani-dos-santos-2017-08-02:Ivani dos Santos:Secretaria de Governo | service_start:service-C041-paulo-pedrosa-2017-08-02:Paulo Pedrosa:Minas e Energia | affiliation_start:affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02:UNKNOWN: | affiliation_start:affiliation-C041-paulo-pedrosa-2017-08-02-2017-08-02:UNKNOWN:,C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11;V5ROOTD002,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2017-08-02,temer-2017-08-03,2017-08-03,PSB,,identified_set_difference,primary_provisional,primary_adjudicated,service_end:service-C035-ivani-dos-santos-2017-08-02:Ivani dos Santos:Secretaria de Governo | service_end:service-C041-paulo-pedrosa-2017-08-02:Paulo Pedrosa:Minas e Energia | service_start:service-16051aed1729:Fernando Bezerra Coelho Filho:Minas e Energia | service_start:service-f103a0f5f74a-b:Antônio Imbassahy:Secretaria de Governo | affiliation_end:affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02:UNKNOWN: | affiliation_end:affiliation-C041-paulo-pedrosa-2017-08-02-2017-08-02:UNKNOWN:,C006;C035;C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2017-08-03,temer-2017-10-18,2017-10-18,,PSB,identified_set_difference,primary_adjudicated,primary_provisional,service_end:service-16051aed1729:Fernando Bezerra Coelho Filho:Minas e Energia | service_start:service-C041-paulo-pedrosa-2017-10-18:Paulo Pedrosa:Minas e Energia | affiliation_start:affiliation-C041-paulo-pedrosa-2017-10-18-2017-10-18:UNKNOWN:,C034;C035;C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11;V5ROOTD002,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2017-10-18,temer-2018-03-21,2018-03-21,,CIDADANIA,identified_set_difference,primary_provisional,primary_adjudicated,affiliation_end:affiliation-9d5e7111e45b:UNAFFILIATED: | affiliation_end:affiliation-fc4ede1b1df9:PARTY:CIDADANIA | affiliation_start:affiliation-C007-coelho-mdb:PARTY:MDB | affiliation_start:affiliation-c97971ff1dd1:UNAFFILIATED:,C006;C007;C034;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R30,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2018-03-21,temer-2018-04-02,2018-04-02,,PL,identified_set_difference,primary_adjudicated,primary_adjudicated,"service_end:service-michel_temer-0-48:Ricardo Barros:Saúde | service_end:service-michel_temer-0-61:Maurício Quintella Lessa:Transportes, Portos e Aviação Civil | service_start:service-michel_temer-0-49:Gilberto Occhi:Saúde | service_start:service-michel_temer-0-62:Valter Casimiro Silveira:Transportes, Portos e Aviação Civil | affiliation_end:affiliation-1cb53fca27f3:PARTY:PP | affiliation_end:affiliation-44ba3dbfd202:PARTY:PL | affiliation_end:affiliation-eb8404d6b3ec:PARTY:PP | affiliation_start:affiliation-425de9b86c8c:PARTY:PP | affiliation_start:affiliation-6180c2397d82:UNAFFILIATED:",C006;C007;C034;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R03;R04;R06;R07;R08;R09;R10;R30,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2018-04-02,temer-2018-04-06,2018-04-06,,DEM,identified_set_difference,primary_adjudicated,primary_adjudicated,"service_end:service-28d6cde4b48d:Fernando Bezerra Coelho Filho:Minas e Energia | service_end:service-michel_temer-0-20:Mendonça Filho:Educação | service_end:service-michel_temer-0-24:Osmar Terra:Desenvolvimento Social e Agrário | service_end:service-michel_temer-0-28:Leonardo Picciani:Esporte | service_end:service-michel_temer-0-30:Henrique Meirelles:Fazenda e Previdência Social | service_end:service-michel_temer-0-32:Helder Barbalho:Integração Nacional | service_end:service-michel_temer-0-38:Sarney Filho:Meio Ambiente | service_end:service-michel_temer-0-43:Dyogo Oliveira:Planejamento, Orçamento e Gestão | service_end:service-michel_temer-0-65:Marx Beltrão:Turismo | service_start:service-C041-paulo-pedrosa-2018-04-06:Paulo Pedrosa:Minas e Energia | service_start:service-C046-maria-helena-guimaraes-de-castro:Maria Helena Guimarães de Castro:Educação | service_start:service-C051-mario-ramos-ribeiro:Mário Ramos Ribeiro:Integração Nacional | service_start:service-C052-person-97d87d5bc202:Esteves Colnago:Planejamento, Orçamento e Gestão | service_start:service-C053-person-9cf6aaca0bc9:Alberto Alves:Turismo | service_start:service-c8d1b1f769cc:Edson Duarte:Meio Ambiente | service_start:service-michel_temer-0-25:Alberto Beltrame:Desenvolvimento Social e Agrário | service_start:service-michel_temer-0-29:Leandro Cruz Fróes da Silva:Esporte | service_start:service-michel_temer-0-31:Eduardo Guardia:Fazenda e Previdência Social | affiliation_end:affiliation-10d430b823de:PARTY:DEM | affiliation_end:affiliation-2076c877abd6:PARTY:PV | affiliation_end:affiliation-484b12eea4d6:UNAFFILIATED: | affiliation_end:affiliation-7afe4fc6c00c:PARTY:MDB | affiliation_end:affiliation-C007-coelho-mdb:PARTY:MDB | affiliation_end:affiliation-a69642f0ced0:PARTY:MDB | affiliation_end:affiliation-e38dd461bf29:PARTY:MDB | affiliation_end:affiliation-f3c1e451ad50:PARTY:MDB | affiliation_start:affiliation-11c0600943a0:UNAFFILIATED: | affiliation_start:affiliation-252c2cfa75af:PARTY:PV | affiliation_start:affiliation-25d6775c96e2:PARTY:MDB | affiliation_start:affiliation-477914b72f6e:UNAFFILIATED: | affiliation_start:affiliation-54b3734919e3:UNAFFILIATED: | affiliation_start:affiliation-C041-paulo-pedrosa-2018-04-06-2018-04-06:UNKNOWN: | affiliation_start:affiliation-C046-maria-helena-guimaraes-de-castro-2018-04-06:PARTY:PSDB | affiliation_start:affiliation-C051-mario-ramos-ribeiro-2018-04-06:PARTY:PSDB | affiliation_start:affiliation-C053-alberto-alves:UNAFFILIATED:",C034;C041;C046;C051;C069;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R03;R04;R06;R07;R08,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2018-04-06,temer-2018-05-15,2018-05-15,,,identified_set_difference,primary_adjudicated,primary_adjudicated,,C034;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R03;R04;R06;R07;R08,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2018-05-15,temer-2018-07-05,2018-07-05,,PTB,identified_set_difference,primary_adjudicated,primary_provisional,service_end:service-michel_temer-0-59:Helton Yomura:Trabalho | service_start:service-C012-padilha-trabalho:Eliseu Padilha:Trabalho | affiliation_end:affiliation-caf2c75c07e1:PARTY:PTB,C012;C034;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R03;R04;R07;R08;V5ROOTD002,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
