election_year,start_party,end_party,parties,interval_size,votes,vote_share_pct,seats,seat_share_pct,quota_display,seat_diff_display,required_diff_display,majority_status
2014,PSB,PTN,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,47627762,48.92,260,50.68,250.97,9.03,6.03,seats_only
2014,PTB,PR,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",13,46191382,47.45,257,50.1,243.4,13.6,13.6,seats_only
2014,PT DO B,PSDC,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",15,47550066,48.84,257,50.1,250.56,6.44,6.44,seats_only
2014,SOLIDARIEDADE,PSL,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",15,47546279,48.84,257,50.1,250.54,6.46,6.46,seats_only
2018,PT,PSDB,"PT, PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB",14,49083988,49.95,267,52.05,256.25,10.75,0.75,seats_only
2022,MDB,UNIÃO,"MDB, PSDB, PSD, PODE, PROS, PTB, PP, REPUBLICANOS, PSC, UNIÃO",10,53852214,49.22,265,51.66,252.49,12.51,4.51,seats_only
2022,PP,PL,"PP, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL",7,49521168,45.26,258,50.29,232.19,25.81,24.81,seats_only
