election_year,cabinet_party_set_id,display_label,canonical_membership,period,source_periods,period_start,period_end,period_days,days_overlapping_mandate,share_of_mandate_pct,parties,votes,vote_share_pct,seats,seat_share_pct,quota_display,seat_diff_display,required_diff_display,majority_status,coalition_inversion
2014,C2014-a264923b9881ebab3d9b,14-05,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,14-05,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,5,0.34,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",45305141,46.54,259,50.49,238.73,20.27,18.27,seats_only,true
2022,C2022-259238bde0cf94feb03e,22-01,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO,22-01,"[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,255,21.72,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",53490123,48.89,263,51.27,250.8,12.2,6.2,seats_only,true
