mandate_id,coalition_source,coalition_name,coalition_votes,coalition_seats,vote_share,seat_share,seat_minus_vote,inversion,n_parties_df,n_parties_coalition,coalition_year,coalition_col
2023-2026,cabinet,2023.1,5.3490123e7,263.0,0.48888043147286714,0.5126705653021443,0.023790133829277138,false,32,9,2023,2023.1
2023-2026,cabinet,2023.2,6.9793935e7,350.0,0.6378913927154223,0.682261208576998,0.044369815861575734,false,32,11,2023,2023.2
2023-2026,cabinet,2023.2,6.9793935e7,350.0,0.6378913927154223,0.682261208576998,0.044369815861575734,false,32,11,2024,2023.2
2023-2026,cabinet,2025.1,5.9578502e7,291.0,0.544526019584346,0.5672514619883041,0.02272544240395813,false,32,10,2025,2025.1
2023-2026,ideology,ideology_threshold_leq_5_5,2.9719337e7,131.0,0.27162402104866246,0.2553606237816764,-0.016263397266986057,true,32,11,,ideology_threshold_leq_5_5
