"check_kind","check_name","observed","expected","passed"
"accounting_identity","2018/2020.5 member B equals district B_C","-1426399048378734277406602725063975312214166139731226947872345695959845023897471269887710668465096719092986807256781424693725056730174146418620495741611546395//316760040128796151135567833357273356190675100372081523203229415647207637579494862638666177251751763301526489176501325815542066486293289420994437770855308488","-1426399048378734277406602725063975312214166139731226947872345695959845023897471269887710668465096719092986807256781424693725056730174146418620495741611546395//316760040128796151135567833357273356190675100372081523203229415647207637579494862638666177251751763301526489176501325815542066486293289420994437770855308488",true
"accounting_identity","2018/2020.5 coalition A+B closure","176570161//32754730","176570161//32754730",true
"accounting_identity","2018/2020.5 member votes","27316549","27316549",true
"accounting_identity","2018/2020.5 calendar days","41","41",true
"accounting_identity","2018/2020.6 member A equals district A_C","3309673643404285689360274753620781526875169945921043560779675294853094828502346112602043396931872670529602897423835984941904518671507202927510944383//233779184145204128067110862937437017329022343789137485143075126029653354762365381961935289682356330345550176106434907308457347535557492729614378648","3309673643404285689360274753620781526875169945921043560779675294853094828502346112602043396931872670529602897423835984941904518671507202927510944383//233779184145204128067110862937437017329022343789137485143075126029653354762365381961935289682356330345550176106434907308457347535557492729614378648",true
"accounting_identity","2018/2020.6 member B equals district B_C","-14472376378584432651002113173402414494562789094044631237441208957199530595917745683346266156684849784557768478663754987970023086167080011564381225673681471//3828687028148221004861819097791378197308724017390187629370218561408633814417746123755030345508683682129651359909363325731773567521675536917740988366502520","-14472376378584432651002113173402414494562789094044631237441208957199530595917745683346266156684849784557768478663754987970023086167080011564381225673681471//3828687028148221004861819097791378197308724017390187629370218561408633814417746123755030345508683682129651359909363325731773567521675536917740988366502520",true
"accounting_identity","2018/2020.6 coalition A+B closure","339905001//32754730","339905001//32754730",true
"accounting_identity","2018/2020.6 member votes","33065559","33065559",true
"accounting_identity","2018/2020.6 calendar days","1","1",true
"accounting_identity","2018/2020.7 member A equals district A_C","419499652391861191701921364124351213084169391960135917418310669803177373797319570154387440021068609962044883354547719955351759002529862782949152030721//30538943949915612940135219042669404053191234593928380953953287516084190869483730422606494157453074311455554584009023154715322978065984050258046726544","419499652391861191701921364124351213084169391960135917418310669803177373797319570154387440021068609962044883354547719955351759002529862782949152030721//30538943949915612940135219042669404053191234593928380953953287516084190869483730422606494157453074311455554584009023154715322978065984050258046726544",true
"accounting_identity","2018/2020.7 member B equals district B_C","-1300576902736528534122408312276811681680395238964022000792481811585157532525793120012274870847235916430682068621445083975789287623103948534579053632493285021//500147431782309712319317631616747404511592263745391878741941182600854164599202414692630806186976468370831298699738935498224315504673614875254375427666276560","-1300576902736528534122408312276811681680395238964022000792481811585157532525793120012274870847235916430682068621445083975789287623103948534579053632493285021//500147431782309712319317631616747404511592263745391878741941182600854164599202414692630806186976468370831298699738935498224315504673614875254375427666276560",true
"accounting_identity","2018/2020.7 coalition A+B closure","364761927//32754730","364761927//32754730",true
"accounting_identity","2018/2020.7 member votes","27173753","27173753",true
"accounting_identity","2018/2020.7 calendar days","93","93",true
"accounting_identity","2018/2020.8 member A equals district A_C","18619234597006098841829386381240420181272834968023587458101728987288882147511266800314416258689510934507044100767120386425112065083503557228597876678649//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680","18619234597006098841829386381240420181272834968023587458101728987288882147511266800314416258689510934507044100767120386425112065083503557228597876678649//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680",true
"accounting_identity","2018/2020.8 member B equals district B_C","-38443389326051094535280006788372982586235079291392837770820645472535613670746964330405777873611689901388298247414823609953418852536917461592217151547938235137//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640","-38443389326051094535280006788372982586235079291392837770820645472535613670746964330405777873611689901388298247414823609953418852536917461592217151547938235137//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640",true
"accounting_identity","2018/2020.8 coalition A+B closure","15540751//6550946","15540751//6550946",true
"accounting_identity","2018/2020.8 member votes","21765175","21765175",true
"accounting_identity","2018/2020.8 calendar days","81","81",true
