"coalition_id","election_year","cabinet_period","component","seats"
"C2014-a264923b9881ebab3d9b",2014,"14-05","A_C",15.742022264747815
"C2014-a264923b9881ebab3d9b",2014,"14-05","B_C",4.529069893162678
"C2014-a264923b9881ebab3d9b",2014,"14-05","d_C",20.271092157910495
"C2022-259238bde0cf94feb03e",2022,"22-01","A_C",13.196247377886202
"C2022-259238bde0cf94feb03e",2022,"22-01","B_C",-0.9919087234670415
"C2022-259238bde0cf94feb03e",2022,"22-01","d_C",12.20433865441916
