election_year,ideological_universe,ideological_party_count,start_index,end_index,start_party,end_party,interval_size,vote_share,seat_share,seats,seat_diff,majority_status,coalition_inversion,minimal_ideological_interval_inversion
2014,seat_winning,28,2,16,PCdoB,PTN,15,0.6843310230272492,0.6998050682261209,359,7.9381851870211335,votes+seats,false,false
2014,seat_winning,28,2,17,PCdoB,PRTB,16,0.6889963031719858,0.7017543859649122,360,6.544896472771313,votes+seats,false,false
2014,seat_winning,28,2,18,PCdoB,PROS,17,0.7093045545291736,0.723196881091618,371,7.126763526533921,votes+seats,false,false
2014,seat_winning,28,2,19,PCdoB,PRP,18,0.7167497023327551,0.7290448343079922,374,6.307402703296589,votes+seats,false,false
2014,seat_winning,28,2,20,PCdoB,PR,19,0.7746357740119768,0.7953216374269005,408,10.611847931855891,votes+seats,false,false
2014,seat_winning,28,2,21,PCdoB,PRB,20,0.820086011910552,0.8362573099415205,429,8.295875889886815,votes+seats,false,false
2014,seat_winning,28,2,22,PCdoB,PTC,21,0.8235590309701919,0.8401559454191033,431,8.514217112291533,votes+seats,false,false
2014,seat_winning,28,2,23,PCdoB,PSDC,22,0.8287969144460201,0.8440545808966862,433,7.827182889191704,votes+seats,false,false
2014,seat_winning,28,2,24,PCdoB,PSL,23,0.8371036995048059,0.8460038986354775,434,4.5658021540346,votes+seats,false,false
2014,seat_winning,28,2,25,PCdoB,PP,24,0.9031482541781934,0.9200779727095516,472,8.68494560658678,votes+seats,false,false
2014,seat_winning,28,2,26,PCdoB,PSC,25,0.929037133386624,0.9454191033138402,485,8.403950572661927,votes+seats,false,false
2014,seat_winning,28,2,27,PCdoB,PEN,26,0.9358984201320865,0.949317738791423,487,6.884110472239627,votes+seats,false,false
2014,seat_winning,28,2,28,PCdoB,DEM,27,0.9778631075595493,0.9902534113060428,508,6.356225821951227,votes+seats,false,false
2014,seat_winning,28,3,3,PT,PT,1,0.13922363222057618,0.13450292397660818,69,-2.421723329155583,neither,false,false
2014,seat_winning,28,3,4,PT,PDT,2,0.1754655629930738,0.17348927875243664,89,-1.0138338154468585,neither,false,false
2014,seat_winning,28,3,5,PT,PSB,3,0.23984700420276833,0.23976608187134502,123,-0.041513156020158704,neither,false,false
2014,seat_winning,28,3,6,PT,PPS,4,0.2599351546705896,0.25925925925925924,133,-0.3467343460124539,neither,false,false
2014,seat_winning,28,3,7,PT,PV,5,0.28052430480608187,0.27485380116959063,141,-2.9089683655199963,neither,false,false
2014,seat_winning,28,3,8,PT,PTB,6,0.32072952043294917,0.3235867446393762,166,1.4657560178970641,neither,false,false
2014,seat_winning,28,3,9,PT,PT DO B,7,0.32907520422554265,0.3255360623781676,167,-1.8155797677033831,neither,false,false
2014,seat_winning,28,3,10,PT,SOLIDARIEDADE,8,0.3567028681339909,0.35477582846003897,182,-0.9885713527373241,neither,false,false
2014,seat_winning,28,3,11,PT,PMN,9,0.36151485823779145,0.36062378167641324,185,-0.45712227598701816,neither,false,false
2014,seat_winning,28,3,12,PT,PHS,10,0.3712017214790262,0.37037037037037035,190,-0.42648311874043543,neither,false,false
2014,seat_winning,28,3,13,PT,PMDB,11,0.48205283091056295,0.49707602339181284,255,7.70689774288121,neither,false,false
2014,seat_winning,28,3,14,PT,PSD,12,0.5433535478695912,0.5672514619883041,291,12.259629942899721,votes+seats,false,false
2014,seat_winning,28,3,15,PT,PSDB,13,0.6572529334134002,0.672514619883041,345,7.829245158925687,votes+seats,false,false
2014,seat_winning,28,3,16,PT,PTN,14,0.6646812048980891,0.6803118908382066,349,8.018541887280264,votes+seats,false,false
2014,seat_winning,28,3,17,PT,PRTB,15,0.6693464850428257,0.682261208576998,350,6.625253173030444,votes+seats,false,false
2014,seat_winning,28,3,18,PT,PROS,16,0.6896547364000135,0.7037037037037037,361,7.207120226793052,votes+seats,false,false
2014,seat_winning,28,3,19,PT,PRP,17,0.697099884203595,0.7095516569200779,364,6.387759403555776,votes+seats,false,false
2014,seat_winning,28,3,20,PT,PR,18,0.7549859558828167,0.7758284600389863,398,10.692204632115022,votes+seats,false,false
2014,seat_winning,28,3,21,PT,PRB,19,0.8004361937813919,0.8167641325536062,419,8.376232590146003,votes+seats,false,false
2014,seat_winning,28,3,22,PT,PTC,20,0.8039092128410318,0.8206627680311891,421,8.59457381255072,votes+seats,false,false
2014,seat_winning,28,3,23,PT,PSDC,21,0.80914709631686,0.8245614035087719,423,7.907539589450835,votes+seats,false,false
2014,seat_winning,28,3,24,PT,PSL,22,0.8174538813756458,0.8265107212475633,424,4.646158854293731,votes+seats,false,false
2014,seat_winning,28,3,25,PT,PP,23,0.8834984360490333,0.9005847953216374,462,8.76530230684591,votes+seats,false,false
2014,seat_winning,28,3,26,PT,PSC,24,0.9093873152574639,0.9259259259259259,475,8.484307272921058,votes+seats,false,false
2014,seat_winning,28,3,27,PT,PEN,25,0.9162486020029263,0.9298245614035088,477,6.9644671724987575,votes+seats,false,false
2014,seat_winning,28,3,28,PT,DEM,26,0.9582132894303892,0.9707602339181286,498,6.436582522210358,votes+seats,false,false
2014,seat_winning,28,4,4,PDT,PDT,1,0.03624193077249763,0.03898635477582846,20,1.4078895137087173,neither,false,false
2014,seat_winning,28,4,5,PDT,PSB,2,0.10062337198219216,0.10526315789473684,54,2.380210173135417,neither,false,false
2014,seat_winning,28,4,6,PDT,PPS,3,0.12071152245001338,0.12475633528265107,64,2.074988983143136,neither,false,false
2014,seat_winning,28,4,7,PDT,PV,4,0.14130067258550566,0.14035087719298245,72,-0.4872450363643992,neither,false,false
2014,seat_winning,28,4,8,PDT,PTB,5,0.18150588821237298,0.18908382066276802,97,3.887479347052661,neither,false,false
2014,seat_winning,28,4,9,PDT,PT DO B,6,0.18985157200496647,0.19103313840155944,98,0.6061435614521997,neither,false,false
