periodo,data_inicio,data_fim,partido
2022.3,2022-04-02,2022-12-31,REPUBLICANOS
2022.3,2022-04-02,2022-12-31,PSD
2022.3,2022-04-02,2022-12-31,UNIÃO
2023.1,2023-01-01,2023-09-12,MDB
2023.1,2023-01-01,2023-09-12,PCdoB
2023.1,2023-01-01,2023-09-12,PDT
2023.1,2023-01-01,2023-09-12,PSB
2023.1,2023-01-01,2023-09-12,PSD
2023.1,2023-01-01,2023-09-12,PSOL
2023.1,2023-01-01,2023-09-12,PT
2023.1,2023-01-01,2023-09-12,REDE
2023.1,2023-01-01,2023-09-12,UNIÃO
2023.2,2023-09-13,2025-12-23,MDB
2023.2,2023-09-13,2025-12-23,PCdoB
2023.2,2023-09-13,2025-12-23,PDT
2023.2,2023-09-13,2025-12-23,PP
2023.2,2023-09-13,2025-12-23,PSB
2023.2,2023-09-13,2025-12-23,PSD
2023.2,2023-09-13,2025-12-23,PSOL
2023.2,2023-09-13,2025-12-23,PT
2023.2,2023-09-13,2025-12-23,REDE
2023.2,2023-09-13,2025-12-23,REPUBLICANOS
2023.2,2023-09-13,2025-12-23,UNIÃO
2025.1,2025-12-24,2026-03-19,MDB
2025.1,2025-12-24,2026-03-19,PCdoB
2025.1,2025-12-24,2026-03-19,PDT
2025.1,2025-12-24,2026-03-19,PP
2025.1,2025-12-24,2026-03-19,PSB
2025.1,2025-12-24,2026-03-19,PSD
2025.1,2025-12-24,2026-03-19,PSOL
2025.1,2025-12-24,2026-03-19,PT
2025.1,2025-12-24,2026-03-19,REDE
2025.1,2025-12-24,2026-03-19,REPUBLICANOS
