party,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,representation_ratio,election_year
PMDB,10791949,97355354,0.11085110943153675,65,0.1267056530214425,56.866619138378354,8.133380861621646,1.1430255743150477,2014
PSD,5967953,97355354,0.061300716959028265,36,0.07017543859649122,31.4472677999815,4.5527322000185,1.1447735373697927,2014
PTB,3914193,97355354,0.040205215626867324,25,0.04873294346978557,20.625275616582936,4.374724383417064,1.2121050144852241,2014
PR,5635519,97355354,0.05788607167922167,34,0.06627680311890838,29.695554771440715,4.304445228559285,1.1449525109629886,2014
PP,6429791,97355354,0.06604455467338756,38,0.07407407407407407,33.88085654744782,4.11914345255218,1.1215773115648242,2014
PDT,3528346,97355354,0.03624193077249763,20,0.03898635477582846,18.592110486291283,1.4078895137087173,1.075725104729063,2014
PSB,6267878,97355354,0.06438144120969454,34,0.06627680311890838,33.0276793405733,0.9723206594266998,1.0294395694411456,2014
SOLIDARIEDADE,2689701,97355354,0.02762766390844822,15,0.029239766081871343,14.172991585033937,0.8270084149660626,1.0583510129110179,2014
PROS,1977117,97355354,0.020308251357187813,11,0.021442495126705652,10.418132946237348,0.581867053762652,1.0558513753630685,2014
PMN,468473,97355354,0.004811990103800557,3,0.005847953216374269,2.4685509232496856,0.5314490767503144,1.2152878726320526,2014
PTC,338117,97355354,0.0034730190596400073,2,0.003898635477582846,1.7816587775953237,0.21834122240467635,1.122549404605616,2014
PTN,723182,97355354,0.007428271484688967,4,0.007797270955165692,3.81070327164544,0.1892967283545599,1.049675011372067,2014
PHS,943068,97355354,0.009686863241234786,5,0.009746588693957114,4.969360842753445,0.030639157246555193,1.0061656132883234,2014
PCO,12969,97355354,0.00013321301260945547,0,0.0,0.06833827546865066,-0.06833827546865066,0.0,2014
PCdoB,1913015,97355354,0.01964981812916011,10,0.01949317738791423,10.080356700259136,-0.0803567002591361,0.9920283872239293,2014
PSC,2520421,97355354,0.025888879208430592,13,0.025341130604288498,13.280995033924894,-0.2809950339248939,0.9788423206840209,2014
PPS,1955689,97355354,0.020088150467821215,10,0.01949317738791423,10.305221189992283,-0.30522118999228276,0.9703818885237813,2014
PCB,66979,97355354,0.000687984761474957,0,0.0,0.35293618263665294,-0.35293618263665294,0.0,2014
DEM,4085487,97355354,0.0419646874274629,21,0.04093567251461988,21.527884650288467,-0.5278846502884669,0.9754790282991695,2014
PSDC,509936,97355354,0.00523788347582815,2,0.003898635477582846,2.687034223099841,-0.687034223099841,0.744315045490095,2014
PPL,141254,97355354,0.0014509114722134338,0,0.0,0.7443175852454915,-0.7443175852454915,0.0,2014
PRP,724825,97355354,0.007445147803581506,3,0.005847953216374269,3.8193608232373126,-0.8193608232373126,0.7854717422213024,2014
PSTU,188473,97355354,0.0019359284544330248,0,0.0,0.9931312971241417,-0.9931312971241417,0.0,2014
PRTB,454190,97355354,0.00466528014473657,1,0.001949317738791423,2.3932887142498602,-1.3932887142498602,0.4178350877793842,2014
PEN,667983,97355354,0.006861286745462401,2,0.003898635477582846,3.5198401004222117,-1.5198401004222117,0.5682076295909283,2014
PRB,4424824,97355354,0.04545023789857515,21,0.04093567251461988,23.31597204196905,-2.315972041969051,0.9006701484372913,2014
PT,13554166,97355354,0.13922363222057618,69,0.13450292397660818,71.42172332915558,-2.421723329155583,0.9660926225765405,2014
PV,2004464,97355354,0.02058915013549229,8,0.015594541910331383,10.562234019507546,-2.562234019507546,0.7574155226275693,2014
PSL,808710,97355354,0.008306785058785775,1,0.001949317738791423,4.261380735157103,-3.261380735157103,0.23466572506648675,2014
PT DO B,812497,97355354,0.008345683792593471,1,0.001949317738791423,4.281335785600451,-3.281335785600451,0.23357196213465223,2014
PSOL,1745470,97355354,0.01792885473971981,5,0.009746588693957114,9.197502481476263,-4.197502481476263,0.5436258386523931,2014
PSDB,11088715,97355354,0.11389938554380892,54,0.10526315789473684,58.43038478397398,-4.430384783973977,0.9241766967588219,2014
