election_year,coalition_year,period,period_start,period_end,period_days,days_overlapping_mandate,share_of_mandate,parties,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion
2018,2019,2019.1,2019-01-01,2020-02-10,406,406,0.2778918548939083,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSL",35845571,98264190,0.36478773192960734,190,0.37037037037037035,187.13610647988855,2.8638935201114464,69.86389352011145,1.0153037998598053,false,false,neither,false
2018,2020,2020.1,2020-02-11,2020-02-14,4,4,0.0027378507871321013,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",41737377,98264190,0.4247465633207784,220,0.42884990253411304,217.89498698355933,2.1050130164406653,39.105013016440665,1.0096606766662304,false,false,neither,false
2018,2020,2020.2,2020-02-15,2020-06-16,123,123,0.08418891170431211,"DEM, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",36297473,98264190,0.3693865791800655,186,0.36257309941520466,189.4953151193736,-3.4953151193736005,67.5046848806264,0.9815546093201739,false,false,neither,false
2018,2020,2020.3,2020-06-17,2020-12-09,176,176,0.12046543463381246,"DEM, NOVO, PATRIOTA, PR, PRB, PSD, PSDB, PSL",42046483,98264190,0.4278922260489808,221,0.43079922027290446,219.50871196312715,1.4912880368728452,37.491288036872845,1.0067937533027087,false,false,neither,false
2018,2020,2020.4,2020-12-10,2021-03-28,109,109,0.07460643394934977,"DEM, NOVO, PATRIOTA, PR, PRB, PSD, PSDB",30611482,98264190,0.3115222544448797,169,0.32943469785575047,159.81091653022327,9.189083469776733,97.18908346977673,1.0574997232309777,false,false,neither,false
2018,2021,2021.1,2021-03-29,2021-06-23,87,87,0.059548254620123205,"DEM, NOVO, PATRIOTA, PR, PRB, PSD, PSDB, PSL",42046483,98264190,0.4278922260489808,221,0.43079922027290446,219.50871196312715,1.4912880368728452,37.491288036872845,1.0067937533027087,false,false,neither,false
2018,2021,2021.2,2021-06-24,2021-08-03,41,41,0.02806297056810404,"DEM, PATRIOTA, PR, PRB, PSD, PSDB, PSL",39298404,98264190,0.39992599542111934,213,0.4152046783625731,205.16203565103422,7.837964348965784,51.837964348965784,1.0382037754894262,false,false,neither,false
2018,2021,2021.3,2021-08-04,2022-02-07,188,188,0.12867898699520877,"DEM, PATRIOTA, PP, PR, PRB, PSD, PSDB, PSL",44706982,98264190,0.45496718590973984,250,0.4873294346978557,233.39816637169653,16.601833628303467,23.601833628303467,1.071130951396869,false,false,neither,false
2018,2022,2022.1,2022-02-08,2022-03-31,52,52,0.03559206023271732,"DEM, PATRIOTA, PP, PR, PRB, PSD, PSDB, PSL",44706982,98264190,0.45496718590973984,250,0.4873294346978557,233.39816637169653,16.601833628303467,23.601833628303467,1.071130951396869,false,false,neither,false
2018,2022,2022.2,2022-04-01,2022-04-01,1,1,0.0006844626967830253,"DEM, PATRIOTA, PP, PR, PRB, PSD, PSL",38815176,98264190,0.39500835451856875,220,0.42884990253411304,202.63928586802578,17.36071413197422,54.36071413197422,1.0856729930605897,false,false,neither,false
2018,2022,2022.3,2022-04-02,2022-12-31,274,274,0.18754277891854895,"DEM, PATRIOTA, PP, PRB, PSD, PSL",33590585,98264190,0.3418395348295244,187,0.3645224171539961,175.363681367546,11.636318632453992,81.63631863245399,1.0663553510151589,false,false,neither,false
