election_year,start_index,end_index,start_party,end_party,parties,interval_size,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,left_removed_seats,right_removed_seats,minimal_connected_winning,minimal_connected_inversion,endpoint_minimal_connected_winning,minimal_ideological_interval_inversion,old_sweep_equivalent,vote_share_pct,quota_display,seat_diff_display,required_diff_display,representation_ratio_display
2014,8,19,PSB,PTN,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,47627762,97355354,0.4892156419050153,260,0.50682261208577,250.96762429727286,9.032375702727137,6.032375702727137,1.0359902028320125,false,true,seats_only,true,226,256,true,true,true,true,true,48.92,250.97,9.03,6.03,1.04
2014,11,24,PTB,PR,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",14,46332636,97355354,0.47591256254894826,257,0.5009746588693957,244.14314458761046,12.856855412389535,12.856855412389535,1.052661136294064,false,true,seats_only,true,232,223,true,true,true,true,true,47.59,244.14,12.86,12.86,1.05
2014,12,27,PT DO B,PSDC,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",16,47691320,97355354,0.48986848735612426,257,0.5009746588693957,251.30253401369174,5.697465986308259,5.697465986308259,1.022671741089558,false,true,seats_only,true,256,255,true,true,true,true,true,48.99,251.3,5.7,5.7,1.02
2014,13,28,SOLIDARIEDADE,PSL,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",16,47687533,97355354,0.48982958862231657,257,0.5009746588693957,251.2825789632484,5.7174210367516025,5.7174210367516025,1.022752954304834,false,true,seats_only,true,242,256,true,true,true,true,true,48.98,251.28,5.72,5.72,1.02
2022,15,29,MDB,UNIÃO,"MDB, PMN, PSDB, PSD, PMB, PODE, PROS, PRTB, AGIR, PTB, PP, DC, REPUBLICANOS, PSC, UNIÃO",15,54687303,109413508,0.49982222487556105,265,0.5165692007797271,256.40880136116283,8.59119863883717,0.5911986388371702,1.0335058648269102,false,true,seats_only,true,223,206,true,true,true,true,true,49.98,256.41,8.59,0.59,1.03
2022,25,32,PP,PL,"PP, DC, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL",8,49618909,109413508,0.4534989317772354,258,0.5029239766081871,232.64495200172175,25.355047998278252,24.355047998278252,1.108986022607061,false,true,seats_only,true,211,159,true,true,true,true,true,45.35,232.64,25.36,24.36,1.11
