election_year,start_index,end_index,start_party,end_party,parties,interval_size,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,left_removed_seats,right_removed_seats,minimal_connected_winning,minimal_connected_inversion,endpoint_minimal_connected_winning,minimal_ideological_interval_inversion,old_sweep_equivalent
2014,1,20,PSTU,PPL,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL",20,68778434,97355354,0.7064679154676999,364,0.7095516569200779,362.4180406349301,1.5819593650699062,-105.4180406349301,1.0043650127413593,true,true,votes+seats,false,364,364,false,false,false,false,false
2014,1,21,PSTU,PRTB,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB",21,69232624,97355354,0.7111331956124365,365,0.7115009746588694,364.8113293491799,0.18867065082008594,-107.81132934917991,1.000517173222544,true,true,votes+seats,false,365,364,false,false,false,false,false
2014,1,22,PSTU,PROS,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS",22,71209741,97355354,0.7314414469696243,376,0.732943469785575,375.22946229541725,0.7705377045827504,-118.22946229541725,1.0020535106701618,true,true,votes+seats,false,376,365,false,false,false,false,false
2014,1,23,PSTU,PRP,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP",23,71934566,97355354,0.7388865947732058,379,0.7387914230019493,379.0488231186546,-0.048823118654581776,-122.04882311865458,0.9998711956991374,true,true,votes+seats,false,379,376,false,false,false,false,false
2014,1,24,PSTU,PR,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",24,77570085,97355354,0.7967726664524275,413,0.8050682261208577,408.74437789009534,4.255622109904664,-151.74437789009534,1.0104114511173752,true,true,votes+seats,false,413,379,false,false,false,false,false
2014,1,25,PSTU,PRB,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB",25,81994909,97355354,0.8422229043510027,434,0.8460038986354775,432.06034993206436,1.939650067935645,-175.06034993206436,1.004489303561969,true,true,votes+seats,false,434,413,false,false,false,false,false
2014,1,26,PSTU,PTC,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC",26,82333026,97355354,0.8456959234106426,436,0.8499025341130604,433.84200870965964,2.1579912903403624,-176.84200870965964,1.004974140924616,true,true,votes+seats,false,436,434,false,false,false,false,false
2014,1,27,PSTU,PSDC,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",27,82842962,97355354,0.8509338068864708,438,0.8538011695906432,436.5290429327595,1.4709570672404766,-179.52904293275952,1.0033696659845541,true,true,votes+seats,false,438,436,false,false,false,false,false
2014,1,28,PSTU,PSL,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",28,83651672,97355354,0.8592405919452566,439,0.8557504873294347,440.7904236679166,-1.7904236679166274,-183.79042366791663,0.9959381520745888,true,true,votes+seats,false,439,438,false,false,false,false,false
2014,1,29,PSTU,PP,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",29,90081463,97355354,0.9252851466186441,477,0.9298245614035088,474.67128021536445,2.3287197846355525,-217.67128021536445,1.0049059630984605,true,true,votes+seats,false,477,439,false,false,false,false,false
2014,1,30,PSTU,PSC,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC",30,92601884,97355354,0.9511740258270747,490,0.9551656920077972,487.9522752492893,2.0477247507106995,-230.9522752492893,1.004196567686183,true,true,votes+seats,false,490,477,false,false,false,false,false
2014,1,31,PSTU,PEN,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN",31,93269867,97355354,0.958035312572537,492,0.9590643274853801,491.4721153497115,0.5278846502885131,-234.4721153497115,1.0010740887098202,true,true,votes+seats,false,492,490,false,false,false,false,false
2014,1,32,PSTU,DEM,"PSTU, PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",32,97355354,97355354,1.0,513,1.0,513.0,0.0,-256.0,1.0,true,true,votes+seats,false,513,492,false,false,false,false,false
2014,2,2,PCO,PCO,PCO,1,12969,97355354,0.00013321301260945547,0,0.0,0.06833827546865066,-0.06833827546865066,256.93166172453135,0.0,false,false,neither,false,0,0,false,false,false,false,false
2014,2,3,PCO,PCB,"PCO, PCB",2,79948,97355354,0.0008211977740844124,0,0.0,0.42127445810530356,-0.42127445810530356,256.5787255418947,0.0,false,false,neither,false,0,0,false,false,false,false,false
2014,2,4,PCO,PSOL,"PCO, PCB, PSOL",3,1825418,97355354,0.018750052513804225,5,0.009746588693957114,9.618776939581567,-4.618776939581567,247.38122306041842,0.5198166078085088,false,false,neither,false,5,0,false,false,false,false,false
2014,2,5,PCO,PCdoB,"PCO, PCB, PSOL, PCdoB",4,3738433,97355354,0.03839987064296433,15,0.029239766081871343,19.699133639840703,-4.699133639840703,237.3008663601593,0.7614548068074987,false,false,neither,false,15,5,false,false,false,false,false
2014,2,6,PCO,PT,"PCO, PCB, PSOL, PCdoB, PT",5,17292599,97355354,0.1776235028635405,84,0.16374269005847952,91.12085696899628,-7.120856968996279,165.8791430310037,0.9218526119500924,false,false,neither,false,84,15,false,false,false,false,false
2014,2,7,PCO,PDT,"PCO, PCB, PSOL, PCdoB, PT, PDT",6,20820945,97355354,0.21386543363603813,104,0.20272904483430798,109.71296745528757,-5.712967455287568,147.28703254471242,0.9479280563838925,false,false,neither,false,104,84,false,false,false,false,false
2014,2,8,PCO,PSB,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB",7,27088823,97355354,0.2782468748457327,138,0.26900584795321636,142.74064679586087,-4.740646795860869,114.25935320413913,0.9667883892761068,false,false,neither,false,138,104,false,false,false,false,false
2014,2,9,PCO,PPS,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS",8,29044512,97355354,0.2983350253135539,148,0.2884990253411306,153.04586798585314,-5.0458679858531355,103.95413201414686,0.9670303546756353,false,false,neither,false,148,138,false,false,false,false,false
