analytical_period_id,period,administration,election_year,start_inclusive,end_exclusive,days,historical_party_sets,historical_party_ids,election_party_set,established_days,provisional_days,proportion_provisional,historical_status,provisional_person_ids,blocker_ids,primary_assumption_ids,sensitivity_ids,source_period_ids,source_release,votes,national_vote_total,vote_share,seats,seat_share,q_C,d_C,R_C,A_C,B_C,inversion_status,concrete_sensitivity_ids,robust_to_all_recorded_concrete_sensitivities,notes
CV5-005,2016.3,dilma_2,2014,2016-04-14,2016-04-19,5,"[""PCdoB;PDT;PMDB;PR;PSD;PT;PTB""]",MDB;PCdoB;PDT;PL;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,5,0,0.0,established,,,,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77;affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32,dilma_2-2016-04-14,cabinet_dataset/releases/2026-03-19-history-v5-candidate,45305141,97355354,0.4653584948188879,259,0.5048732943469786,238.7289078420895,20.271092157910495,1.0849125995722273,15.742022264747815,4.529069893162678,True,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77;affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32,yes,No recorded concrete alternative changes inversion status on these dates.
CV5-041,2023.1,lula_3,2022,2023-01-01,2023-09-13,255,"[""MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIAO""]",MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIAO,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO,255,0,0.0,established,,,,,lula_3-2023-01-01,cabinet_dataset/releases/2026-03-19-history-v5-candidate,53490123,109413508,0.48888043147286714,263,0.5126705653021443,250.79566134558084,12.20433865441916,1.0486624792029489,13.196247377886202,-0.9919087234670415,True,,yes,No recorded concrete alternative changes inversion status on these dates.
